MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05327648,-0.94937211,-0.80672883,-0.65290024,-0.53517267,-0.48827089,-0.45986521,-0.43643916,-0.41878008,-0.40268703
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.630972824,0.595563091,0.504534097,0.445929967,0.419225357,0.413828169,0.413617971,0.413433177,0.411804003
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.175139,2.4885832,2.7180284,2.8670067,2.9537095,2.9970938,3.0158901,3.0204624,3.0129535
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.057975045,0.080529455,0.089688826,0.079921807,0.063443034,0.054438821,0.049066247,0.045683198,0.043483113
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9627117,3.2850896,3.4550447,3.553827,3.612012,3.6524862,3.6760449,3.6866033,3.6839776
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19087775,0.20745824,0.2164626,0.2260383,0.23678855,0.24748866,0.25780317,0.26732999,0.27580368
AIM/CGE,SSP2-34,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.9890618,1.2499012,1.5165916,1.7239165,1.8707802,1.9642087,2.0366885,2.0962333,2.142859,2.1731044
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1913.2536,1918.3504,1843.1861,1722.0749,1591.9372,1523.9708,1502.1325,1498.2216,1496.1824
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,415.90469,444.12749,473.54117,500.85975,522.66873,538.52001,548.99522,555.58493,559.76542
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.07016,337.58785,343.1695,348.46871,353.01088,356.87778,360.48959,363.90924,367.0504
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1377826,2.6503749,3.0894437,3.4765141,3.7796187,3.9504701,4.0891246,4.1966489,4.262681,4.2978508
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05327648,-0.95315166,-0.88759628,-0.77319727,-0.62966065,-0.56242201,-0.51087002,-0.47205092,-0.44442699,-0.42317892
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.630974172,0.633110912,0.601297824,0.548602905,0.489813069,0.458126332,0.447791519,0.445932604,0.444962329
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1751381,2.5265527,2.8697871,3.1699884,3.398117,3.5580295,3.6611439,3.7250073,3.7651306
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.057315662,0.08450975,0.10444313,0.11335372,0.11196651,0.11242561,0.11402771,0.10719927,0.094381436
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9620525,3.3626433,3.715786,3.9960614,4.1863583,4.3312957,4.4379734,4.5035784,4.5393425
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19087775,0.21103753,0.22814568,0.244258,0.25796988,0.26957292,0.2803531,0.29050939,0.29979601
AIM/CGE,SSP2-45,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.9890618,1.2490836,1.5167048,1.7856013,2.0324841,2.21278,2.3599775,2.4853045,2.5831081,2.6521438
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1913.2332,1962.6028,1972.2376,1977.5145,1973.4908,1964.5073,1949.4038,1917.0638,1878.7155
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,415.90515,444.77555,476.30003,509.05839,541.68721,574.17835,607.00167,640.55418,674.76228
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.07016,338.12018,345.03761,352.352,359.75139,366.82303,373.47635,379.47301,384.779
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1377826,2.6537562,3.1208818,3.5858145,4.0293967,4.405799,4.7581121,5.0752545,5.3529574,5.6186655
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05327648,-0.95403441,-0.90623845,-0.80434219,-0.68407499,-0.63840559,-0.60302284,-0.57063221,-0.54046715,-0.5132272
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.630965614,0.65154191,0.655526431,0.657704478,0.656043948,0.652330338,0.646067092,0.632571796,0.61641695
