Data,Unit,LCI,Baseline Gasoline,CA Gasoline,"Low-Level EtOH Blend with Gasoline (E10, Corn)",Baseline Conventional and LS Diesel,"Compressed Natural Gas, NA NG","Liquefied Natural Gas, NA NG","Liquefied Petroleum Gas, Crude and NG Mix","Naphtha, NA NG","M85 for MeOH FFV, NA NG","M90 for Dedi. MeOH Vehicles, NA NG",MeOH for FCV: NA NG,"E85 for FFV, Corn","BtOH for FFV: BtOH100, Corn","E85 for Dedi. EtOH Vehicle, Corn","EtOH for FCV, Corn",Soybean-based RG100,Forest Residue-based Pyrolysis RG100,Grid-Connected SI PHEV: Gasoline and Electricity (U.S. Mix),Grid-Connected SI PHEV: CA gasoline and Electricity (U.S. Mix),"Grid-Connected SI PHEV: Low-Level EtOH Blend with Gasoline (E10, Corn) and Electricity (U.S. Mix)",Grid-Connected SI PHEV: CNG (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LNG (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LPG (Crude and NG Mix) and Electricity (U.S. Mix),Grid-Connected SI PHEV: M90 (NA NG) and Electricity (U.S. Mix),Grid-Connected SI PHEV: LPG (NA NG) and Electricity (U.S. Mix),"Grid-Connected SI PHEV: G.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)","Grid-Connected SI PHEV: L.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)",DME: NA NG,FTD100: NA NG,Soybean-based BD20,Soybean-based RDII 100,Forest Residue-based RDII 100,"E-Diesel, Corn",Grid-Connected CIDI PHEV: Diesel and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: DME (NA NG) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: FTD100 (NA NG) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: BD20 (Soybean) and Electricity (U.S. Mix),Grid-Connected CIDI PHEV: E-Diesel (Corn) and Electricity (U.S. Mix),Electricity  (U.S. Mix),"FCV: G.H2, Central Plants, NA NG","FCV: L.H2, Central Plants, NA NG","Grid-Connected FC PHEV: G.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)","Grid-Connected FC PHEV: L.H2 (Central Plants, NA NG) and Electricity (U.S. Mix)",Blended feedstock-based RG100 via Indirect Liquefaction (IDL),Low Octane Gasoline-Like Fuel,Co-Optima: Isobutanol,Co-Optima: ARHC
PTW,g per mile,PM10: Total,0.023406192,0.023406192,0.023406192,0.023540319,0.023406192,,,,0.023406192,,,0.023406192,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.018,,,,,,
PTW,g per mile,PM2.5: Total,0.009382423,0.009382423,0.009382423,0.009697071,0.009382423,,,,0.009382423,,,0.009382423,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0046,0.0046,,,,,,
PTW,g per mile,SOx: Total,0.004985179,0.004985179,0.004985179,0.001952703,0.00121615,,,,0.001404019,,,0.001391982,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
PTW,g per mile,BC Total,0.001738538,0.001738538,0.001738538,0.001610852,0.001738538,,,,0.001738538,,,0.001738538,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000657692,0.000657692,,,,,,
PTW,g per mile,OC Total,0.003286141,0.003286141,0.003286141,0.001496046,0.003286141,,,,0.003286141,,,0.003286141,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000822267,0.000822267,,,,,,
PTW,g per mile,VOC: Urban,0.16722336,0.195937999,0.16722336,0.085912479,0.121303449,,,,0.156274269,,,0.156274269,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
PTW,g per mile,CO: Urban,1.892439658,2.217398582,1.892439658,1.964397763,1.892439658,,,,1.892439658,,,1.892439658,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
PTW,g per mile,NOx: Urban,0.084027109,0.098455764,0.084027109,0.092001918,0.084027109,,,,0.084027109,,,0.084027109,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
PTW,g per mile,PM10: Urban,0.016384335,0.019197759,0.016384335,0.016478223,0.016384335,,,,0.016384335,,,0.016384335,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126,0.0126,,,,,,
PTW,g per mile,PM2.5: Urban,0.006567696,0.007695464,0.006567696,0.006787949,0.006567696,,,,0.006567696,,,0.006567696,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00322,0.00322,,,,,,
PTW,g per mile,SOx: Urban,0.003489625,0.004088843,0.003489625,0.001366892,0.000851305,,,,0.000982813,,,0.000974387,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
PTW,g per mile,BC: Urban,0.001216976,0.001425949,0.001216976,0.001127596,0.001216976,,,,0.001216976,,,0.001216976,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000460385,0.000460385,,,,,,
PTW,g per mile,OC: Urban,0.002300299,0.002695293,0.002300299,0.001047232,0.002300299,,,,0.002300299,,,0.002300299,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000575587,0.000575587,,,,,,
Fuel Economy,MPG,,26.08,26.08,26.08,31.296,26.08,,,,26.08,,,26.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
