Vehicle,Type,Make,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ford Fusion Energi,PHEV,Ford,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid,Fusion Energi Plug-in Hybrid
Jaguar I-Pace,BEV,Jaguar,I-Pace,I-Pace,I-Pace,I-Pace,I-Pace,I-Pace,I-Pace,I-Pace,I-Pace
Honda Accord,PHEV,Honda,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid,Accord Plug-in Hybrid
Honda Clarity BEV,BEV,Honda,Clarity EV,Clarity EV,Clarity EV,Clarity EV,Clarity EV,Clarity EV,Clarity EV,Clarity EV,Clarity EV
Honda Clarity Plug-in,PHEV,Honda,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid,Clarity Plug-in Hybrid
Honda Fit EV,BEV,Honda,Fit EV,Fit EV,Fit EV,Fit EV,Fit EV,Fit EV,Fit EV,Fit EV,Fit EV
Hyundai Kona,BEV,Hyundai,Kona Electric,Kona Electric,Kona Electric,Kona Electric,Kona Electric,Kona Electric,Kona Electric,Kona Electric,Kona Electric
Hyundai Sonata Plug-in,PHEV,Hyundai,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid,Sonata Plug-in Hybrid
Hyundai Ioniq EV,BEV,Hyundai,Ioniq Electric,Ioniq Electric,Ioniq Electric,Ioniq Electric,Ioniq Electric,Ioniq Electric,Ioniq Electric,Ioniq Electric,Ioniq Electric
Hyundai Ioniq Plug-in,PHEV,Hyundai,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid,Ioniq Plug-in Hybrid
Kia Niro Plug-in,PHEV,Kia,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid,Niro Plug-in Hybrid
Kia Niro EV,BEV,Kia,Niro Electric,Niro Electric,Niro Electric,Niro Electric,Niro Electric,Niro Electric,Niro Electric,Niro Electric,Niro Electric
Kia Optima Plug-in,PHEV,Kia,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid,Optima Plug-in Hybrid
Kia Soul EV,BEV,Kia,Soul Electric,Soul Electric,Soul Electric,Soul Electric,Soul Electric,Soul Electric,Soul Electric,Soul Electric,Soul Electric
Mercedes B-Class Electric,BEV,Mercedes-Benz,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive,B-Class Electric Drive
Mercedes C350We Plug-in Hybrid,PHEV,Mercedes-Benz,C350e,C350e,C350e,C350e,C350e,C350e,C350e,C350e,C350e
Mercedes GLC 350e,PHEV,Mercedes-Benz,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic,GLC350e 4matic
Mercedes GLE 550e Hybrid,PHEV,Mercedes-Benz,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic,GLE550e 4matic
Mercedes S550 Plug In,PHEV,Mercedes-Benz,S550e,S550e,S550e,S550e,S550e,S550e,S550e,S550e,S550e
Mini Cooper Countryman Plug In,PHEV,MINI,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4,Cooper SE Countryman All4
Mitsubishi i-MiEV,BEV,Mitsubishi,i-MiEV,i-MiEV,i-MiEV,i-MiEV,i-MiEV,i-MiEV,i-MiEV,i-MiEV,i-MiEV
Mitsubishi Outlander,PHEV,Mitsubishi,Outlander PHEV,Outlander PHEV,Outlander PHEV,Outlander PHEV,Outlander PHEV,Outlander PHEV,Outlander PHEV,Outlander PHEV,Outlander PHEV
Nissan LEAF,BEV,Nissan,Leaf,Leaf,Leaf,Leaf,Leaf,Leaf,Leaf,Leaf,Leaf
Porsche Cayenne S E-Hybrid,PHEV,Porsche,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid,Cayenne S e-Hybrid
Porsche Panamera S E-Hybrid,PHEV,Porsche,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid,Panamera S E-Hybrid
Porsche Taycan,BEV,Porsche,Taycan Turbo,Taycan Turbo,Taycan Turbo,Taycan Turbo,Taycan Turbo,Taycan Turbo,Taycan Turbo,Taycan Turbo,Taycan Turbo
Smart ED,BEV,smart,EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe),EQ fortwo (coupe)
Smart for Two EV,BEV,smart,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe,fortwo electric drive coupe
Subaru Crosstrek Hybrid,PHEV,Subaru,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD,Crosstrek Hybrid AWD
