IAM,SSP_scenario,Mitigation_scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply|Electricity,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Biomass|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Fossil,Mt CO2/yr,376.5886667,416.3463333,455.389,486.5263333,511.9106667,534.6586667,558.2793333,579.733,594.627,600.4863333
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy,Mt CO2/yr,376.5886667,416.3463333,455.389,486.5263333,511.9106667,534.6586667,558.2793333,579.733,594.627,600.4863333
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry,Mt CO2/yr,376.5886667,416.3463333,455.389,486.5263333,511.9106667,534.6586667,558.2793333,579.733,594.627,600.4863333
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|CO2|Carbon Capture and Storage|Fossil|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1,baseline,USA,Emissions|BC,Mt BC/yr,0.307522879,0.227386118,0.140308859,0.110404515,0.094866173,0.091802342,0.08887719,0.085175932,0.081001823,0.076554245
GCAM4,SSP1,baseline,USA,Emissions|C2F6,kt C2F6/yr,0.48288565,0.528731,0.579497,0.61992,0.652674382,0.682020665,0.712820618,0.741311221,0.76194,0.771528
GCAM4,SSP1,baseline,USA,Emissions|CF4,kt CF4/yr,0.791207,0.86505067,0.94811571,1.01429892,1.06795614,1.11604581,1.16651582,1.21319857,1.2470079,1.2627347
GCAM4,SSP1,baseline,USA,Emissions|CH4,Mt CH4/yr,26.53379512,30.04920267,30.24347356,32.50889217,33.3629743,34.85710377,34.63767528,33.29346244,30.91008812,28.67871075
GCAM4,SSP1,baseline,USA,Emissions|CO,Mt CO/yr,37.80786367,27.90575561,19.47108164,16.39809328,15.26452299,14.81846707,14.31882655,13.64722843,12.80781254,11.92813988
GCAM4,SSP1,baseline,USA,Emissions|F-Gases,Mt CO2-equiv/yr,294.3196955,442.1158946,603.7130185,639.776593,668.4719572,693.7517094,716.3149726,732.2292389,734.9569727,724.0325675
