Year,Census,Source,Value
2005,Middle Atlantic,Other,0.072762422
2005,Middle Atlantic,Renewable,0.078111104
2005,Mountain,Coal,0.634146791
2005,Mountain,Natural Gas,0.191911677
2005,Mountain,Nuclear,0.073959352
2005,Mountain,Other,0.0028344
2005,Mountain,Renewable,0.09714778
2005,New England,Coal,0.1500067
2005,New England,Natural Gas,0.370242104
2005,New England,Nuclear,0.253872983
2005,New England,Other,0.107836883
2005,New England,Renewable,0.11804133
2005,Pacific,Coal,0.049641171
2005,Pacific,Natural Gas,0.321483467
2005,Pacific,Nuclear,0.120095203
2005,Pacific,Other,0.043172702
2005,Pacific,Renewable,0.465607457
2005,South Atlantic,Coal,0.521305944
2005,South Atlantic,Natural Gas,0.138591885
2005,South Atlantic,Nuclear,0.238323358
2005,South Atlantic,Other,0.063162361
2005,South Atlantic,Renewable,0.038616453
2005,West North Central,Coal,0.76762632
2005,West North Central,Natural Gas,0.037110243
2005,West North Central,Nuclear,0.141636382
2005,West North Central,Other,0.00895397
2005,West North Central,Renewable,0.044673086
2005,West South Central,Coal,0.381039598
2005,West South Central,Natural Gas,0.456388554
2005,West South Central,Nuclear,0.111606015
2005,West South Central,Other,0.019676933
2005,West South Central,Renewable,0.031288899
2006,East North Central,Coal,0.699705548
2006,East North Central,Natural Gas,0.041542391
2006,East North Central,Nuclear,0.233394169
2006,East North Central,Other,0.01044784
2006,East North Central,Renewable,0.014910052
2006,East South Central,Coal,0.65269207
2006,East South Central,Natural Gas,0.097291511
2006,East South Central,Nuclear,0.176418179
2006,East South Central,Other,0.009655833
2006,East South Central,Renewable,0.063942406
2006,Middle Atlantic,Coal,0.36604084
2006,Middle Atlantic,Natural Gas,0.169150884
2006,Middle Atlantic,Nuclear,0.355850028
2006,Middle Atlantic,Other,0.023105796
2006,Middle Atlantic,Renewable,0.085852453
2006,Mountain,Coal,0.597826052
2006,Mountain,Natural Gas,0.218766133
2006,Mountain,Nuclear,0.068117902
2006,Mountain,Other,0.00307096
2006,Mountain,Renewable,0.112218954
2006,New England,Coal,0.148448206
2006,New England,Natural Gas,0.39994813
2006,New England,Nuclear,0.279275992
2006,New England,Other,0.045688447
2006,New England,Renewable,0.126639225
2006,Pacific,Coal,0.033145753
2006,Pacific,Natural Gas,0.323980592
2006,Pacific,Nuclear,0.104108437
2006,Pacific,Other,0.039185369
2006,Pacific,Renewable,0.499579848
2006,South Atlantic,Coal,0.527668389
2006,South Atlantic,Natural Gas,0.15931499
2006,South Atlantic,Nuclear,0.241720286
2006,South Atlantic,Other,0.036458025
2006,South Atlantic,Renewable,0.034838311
2006,West North Central,Coal,0.756128861
2006,West North Central,Natural Gas,0.037829754
2006,West North Central,Nuclear,0.152965313
2006,West North Central,Other,0.004433412
2006,West North Central,Renewable,0.048642661
2006,West South Central,Coal,0.37441967
2006,West South Central,Natural Gas,0.459176331
2006,West South Central,Nuclear,0.119214877
2006,West South Central,Other,0.017785217
2006,West South Central,Renewable,0.029403905
2007,East North Central,Coal,0.690892005
2007,East North Central,Natural Gas,0.052572308
2007,East North Central,Nuclear,0.23314998
2007,East North Central,Other,0.009183822
2007,East North Central,Renewable,0.014201886
2007,East South Central,Coal,0.637275866
2007,East South Central,Natural Gas,0.121916277
2007,East South Central,Nuclear,0.187422719
2007,East South Central,Other,0.008139039
2007,East South Central,Renewable,0.045246099
2007,Middle Atlantic,Coal,0.355029266
2007,Middle Atlantic,Natural Gas,0.192306034
2007,Middle Atlantic,Nuclear,0.349346929
2007,Middle Atlantic,Other,0.025841153
2007,Middle Atlantic,Renewable,0.077476617
2007,Mountain,Coal,0.573452665
2007,Mountain,Natural Gas,0.25097073
2007,Mountain,Nuclear,0.072911939
2007,Mountain,Other,0.0032041
2007,Mountain,Renewable,0.099460565
2007,New England,Coal,0.151411866
2007,New England,Natural Gas,0.408536655
2007,New England,Nuclear,0.278990128
2007,New England,Other,0.049885511
2007,New England,Renewable,0.11117584
2007,Pacific,Coal,0.04453976
2007,Pacific,Natural Gas,0.362187111
2007,Pacific,Nuclear,0.112201326
2007,Pacific,Other,0.039697598
2007,Pacific,Renewable,0.441374206
2007,South Atlantic,Coal,0.529723102
2007,South Atlantic,Natural Gas,0.170327418
2007,South Atlantic,Nuclear,0.235537288
2007,South Atlantic,Other,0.033450192
2007,South Atlantic,Renewable,0.030962
2007,West North Central,Coal,0.738742483
2007,West North Central,Natural Gas,0.049225301
2007,West North Central,Nuclear,0.15349669
2007,West North Central,Other,0.00625733
2007,West North Central,Renewable,0.052278197
2007,West South Central,Coal,0.368532958
2007,West South Central,Natural Gas,0.455572912
2007,West South Central,Nuclear,0.117538537
2007,West South Central,Other,0.017117367
2007,West South Central,Renewable,0.041238225
2008,East North Central,Coal,0.697471158
2008,East North Central,Natural Gas,0.038171351
2008,East North Central,Nuclear,0.236514291
2008,East North Central,Other,0.008993559
2008,East North Central,Renewable,0.01884964
2008,East South Central,Coal,0.627196421
2008,East South Central,Natural Gas,0.116089925
2008,East South Central,Nuclear,0.197121282
2008,East South Central,Other,0.007650023
2008,East South Central,Renewable,0.051942347
2008,Middle Atlantic,Coal,0.34189463
2008,Middle Atlantic,Natural Gas,0.195471442
2008,Middle Atlantic,Nuclear,0.361353001
2008,Middle Atlantic,Other,0.0160794
2008,Middle Atlantic,Renewable,0.085201527
2008,Mountain,Coal,0.562948886
2008,Mountain,Natural Gas,0.247240231
2008,Mountain,Nuclear,0.077038348
2008,Mountain,Other,0.00329018
2008,Mountain,Renewable,0.109482356
2008,New England,Coal,0.148062175
2008,New England,Natural Gas,0.403145047
2008,New England,Nuclear,0.279689488
2008,New England,Other,0.034509539
2008,New England,Renewable,0.13459375
2008,Pacific,Coal,0.043852983
2008,Pacific,Natural Gas,0.382101241
2008,Pacific,Nuclear,0.105518954
2008,Pacific,Other,0.036986858
2008,Pacific,Renewable,0.431539964
2008,South Atlantic,Coal,0.525836062
2008,South Atlantic,Natural Gas,0.174130295
2008,South Atlantic,Nuclear,0.247245751
2008,South Atlantic,Other,0.021029528
2008,South Atlantic,Renewable,0.031758364
2008,West North Central,Coal,0.738157824
2008,West North Central,Natural Gas,0.042310044
2008,West North Central,Nuclear,0.143638221
2008,West North Central,Other,0.005287923
2008,West North Central,Renewable,0.070605988
2008,West South Central,Coal,0.371705197
2008,West South Central,Natural Gas,0.446734981
2008,West South Central,Nuclear,0.111778831
2008,West South Central,Other,0.014123048
2008,West South Central,Renewable,0.055657943
2009,East North Central,Coal,0.684645371
2009,East North Central,Natural Gas,0.044223627
2009,East North Central,Nuclear,0.238922973
2009,East North Central,Other,0.007913336
2009,East North Central,Renewable,0.024294694
2009,East South Central,Coal,0.536116166
2009,East South Central,Natural Gas,0.155041287
2009,East South Central,Nuclear,0.214396319
2009,East South Central,Other,0.006528117
2009,East South Central,Renewable,0.087918111
2009,Middle Atlantic,Coal,0.297577307
2009,Middle Atlantic,Natural Gas,0.221058726
