"Model_year","Size","Technology","Fuel_type","Value","Source","Unit"
"2015","Light truck","AFV","Gasoline","8.88690243441464","epa","L/100km"
"2016","All","All","Gasoline","9.51416578736147","epa","L/100km"
"2016","Car","All","Gasoline","8.23975845996069","epa","L/100km"
"2016","Car","ICEV-G","Gasoline","8.31737932931372","epa","L/100km"
"2016","Car","ICEV-D","Diesel","6.267036749802","epa","L/100km"
"2016","Car","AFV","Gasoline","2.69222051807179","epa","L/100km"
"2016","Light truck","All","Gasoline","11.0926130934731","epa","L/100km"
"2016","Light truck","ICEV-G","Gasoline","11.1111295938864","epa","L/100km"
"2016","Light truck","ICEV-D","Diesel","8.67174350472754","epa","L/100km"
"2016","Light truck","AFV","Gasoline","5.79777550063708","epa","L/100km"
"2017","All","All","Gasoline","9.45333346172747","epa","L/100km"
"2017","Car","All","Gasoline","8.04513391919146","epa","L/100km"
"2017","Car","ICEV-G","Gasoline","8.18387474004298","epa","L/100km"
"2017","Car","ICEV-D","Diesel","5.50896229492502","epa","L/100km"
"2017","Car","AFV","Gasoline","2.63869104990738","epa","L/100km"
"2017","Light truck","All","Gasoline","11.0125814961667","epa","L/100km"
"2017","Light truck","ICEV-G","Gasoline","11.0275937501177","epa","L/100km"
"2017","Light truck","ICEV-D","Diesel","8.5733332386691","epa","L/100km"
"2017","Light truck","AFV","Gasoline","5.24535984725049","epa","L/100km"
