"Model_year","Size","Technology","Material","Value"
"1976","Light truck","CNG","Total","2036.99757749653"
"1976","Light truck","HEV","HSS/AHSS","396.36316095983"
"1976","Light truck","HEV","Cast Iron","86.6726218468701"
"1976","Light truck","HEV","Mild steel and other steels","830.53115861093"
"1976","Light truck","HEV","Wrought Aluminum","51.818086893305"
"1976","Light truck","HEV","Cast Aluminum","161.07319048439"
"1976","Light truck","HEV","Other","670.78924691619"
"1976","Light truck","HEV","Total","2197.24746571152"
"1976","Light truck","PHEV20","HSS/AHSS","396.533720706894"
"1976","Light truck","PHEV20","Cast Iron","84.5569219905413"
"1976","Light truck","PHEV20","Mild steel and other steels","844.062273305508"
"1976","Light truck","PHEV20","Wrought Aluminum","51.8403846863405"
"1976","Light truck","PHEV20","Cast Aluminum","161.321130524458"
"1976","Light truck","PHEV20","Other","684.451373487208"
"1976","Light truck","PHEV20","Total","2222.76580470095"
"1976","Light truck","PHEV40","HSS/AHSS","397.432152769139"
"1976","Light truck","PHEV40","Cast Iron","91.6386722784689"
"1976","Light truck","PHEV40","Mild steel and other steels","887.920574299165"
"1976","Light truck","PHEV40","Wrought Aluminum","51.9578400071142"
"1976","Light truck","PHEV40","Cast Aluminum","189.207459372682"
"1976","Light truck","PHEV40","Other","841.230448846504"
"1976","Light truck","PHEV40","Total","2459.38714757307"
"1976","Light truck","FCV","HSS/AHSS","429.456963167862"
"1976","Light truck","FCV","Cast Iron","17.9472141349122"
"1976","Light truck","FCV","Mild steel and other steels","754.06620971285"
"1976","Light truck","FCV","Wrought Aluminum","87.4958500718528"
"1976","Light truck","FCV","Cast Aluminum","131.958976296135"
"1976","Light truck","FCV","Other","928.772034682237"
"1976","Light truck","FCV","Total","2349.69724806585"
"1977","Car","ICEV-G","HSS/AHSS","156.894655837894"
"1977","Car","ICEV-G","Cast Iron","225.657127000671"
"1977","Car","ICEV-G","Mild steel and other steels","903.94209384767"
"1977","Car","ICEV-G","Wrought Aluminum","12.6869030114436"
"1977","Car","ICEV-G","Cast Aluminum","31.5183339622274"
"1977","Car","ICEV-G","Other","458.093655161696"
"1977","Car","ICEV-G","Total","1788.79276703281"
"1977","Car","BEV100","HSS/AHSS","329.672136102412"
"1977","Car","BEV100","Cast Iron","13.7771579654915"
"1977","Car","BEV100","Mild steel and other steels","575.493790445109"
"1977","Car","BEV100","Wrought Aluminum","45.3661741464988"
"1977","Car","BEV100","Cast Aluminum","131.350644849465"
"1977","Car","BEV100","Other","677.464565492958"
"1977","Car","BEV100","Total","1773.12446900193"
"1977","Car","BEV300","HSS/AHSS","330.283933228708"
"1977","Car","BEV300","Cast Iron","13.8027252632057"
"1977","Car","BEV300","Mild steel and other steels","593.074464245133"
"1977","Car","BEV300","Wrought Aluminum","45.4503637175621"
"1977","Car","BEV300","Cast Aluminum","150.619832159557"
"1977","Car","BEV300","Other","1201.78257790502"
"1977","Car","BEV300","Total","2335.01389651919"
"1977","Car","FFV","HSS/AHSS","156.894655837894"
"1977","Car","FFV","Cast Iron","225.657127000671"
"1977","Car","FFV","Mild steel and other steels","903.94209384767"
"1977","Car","FFV","Wrought Aluminum","12.6869030114436"
"1977","Car","FFV","Cast Aluminum","31.5183339622274"
"1977","Car","FFV","Other","458.093655161696"
"1977","Car","FFV","Total","1788.79276703281"
"1977","Car","ICEV-D","HSS/AHSS","156.894655837894"
"1977","Car","ICEV-D","Cast Iron","225.657127000671"
"1977","Car","ICEV-D","Mild steel and other steels","903.94209384767"
"1977","Car","ICEV-D","Wrought Aluminum","12.6869030114436"
"1977","Car","ICEV-D","Cast Aluminum","31.5183339622274"
"1977","Car","ICEV-D","Other","458.093655161696"
"1977","Car","ICEV-D","Total","1788.79276703281"
"1977","Car","CNG","HSS/AHSS","326.791134613074"
"1977","Car","CNG","Cast Iron","110.114404054405"
"1977","Car","CNG","Mild steel and other steels","634.90364075173"
"1977","Car","CNG","Wrought Aluminum","51.9917591014301"
"1977","Car","CNG","Cast Aluminum","126.130743315543"
"1977","Car","CNG","Other","511.06622389351"
"1977","Car","CNG","Total","1760.99790572969"
"1977","Car","HEV","HSS/AHSS","330.418600023242"
"1977","Car","HEV","Cast Iron","78.7474544626553"
"1977","Car","HEV","Mild steel and other steels","718.676349600353"
"1977","Car","HEV","Wrought Aluminum","45.4688952776546"
"1977","Car","HEV","Cast Aluminum","144.568895963767"
"1977","Car","HEV","Other","582.367611698081"
"1977","Car","HEV","Total","1900.24780702575"
"1977","Car","PHEV20","HSS/AHSS","330.550074498057"
"1977","Car","PHEV20","Cast Iron","76.46341577455"
"1977","Car","PHEV20","Mild steel and other steels","729.294317265094"
"1977","Car","PHEV20","Wrought Aluminum","45.4869872783536"
"1977","Car","PHEV20","Cast Aluminum","143.59415889208"
"1977","Car","PHEV20","Other","581.504626441672"
"1977","Car","PHEV20","Total","1906.8935801498"
"1977","Car","PHEV40","HSS/AHSS","331.338394983126"
"1977","Car","PHEV40","Cast Iron","82.2547124067843"
"1977","Car","PHEV40","Mild steel and other steels","763.512603553145"
"1977","Car","PHEV40","Wrought Aluminum","45.5954681966241"
"1977","Car","PHEV40","Cast Aluminum","164.627254917073"
"1977","Car","PHEV40","Other","652.736228467843"
"1977","Car","PHEV40","Total","2040.0646625246"
"1977","Car","FCV","HSS/AHSS","360.112368787073"
"1977","Car","FCV","Cast Iron","15.0492700073554"
"1977","Car","FCV","Mild steel and other steels","636.547647066584"
"1977","Car","FCV","Wrought Aluminum","74.0564276702233"
"1977","Car","FCV","Cast Aluminum","117.305399049141"
"1977","Car","FCV","Other","799.426543399401"
"1977","Car","FCV","Total","2002.49765597978"
"1977","Light truck","ICEV-G","HSS/AHSS","164.548755249271"
"1977","Light truck","ICEV-G","Cast Iron","236.665800774323"
"1977","Light truck","ICEV-G","Mild steel and other steels","948.040872174362"
"1977","Light truck","ICEV-G","Wrought Aluminum","13.3058330594652"
"1977","Light truck","ICEV-G","Cast Aluminum","33.0559546041765"
"1977","Light truck","ICEV-G","Other","480.441735519201"
"1977","Light truck","ICEV-G","Total","1876.05894950474"
"1977","Light truck","BEV100","HSS/AHSS","395.721208887632"
"1977","Light truck","BEV100","Cast Iron","16.5373806521717"
"1977","Light truck","BEV100","Mild steel and other steels","669.87667081952"
"1977","Light truck","BEV100","Wrought Aluminum","51.7341620400607"
"1977","Light truck","BEV100","Cast Aluminum","151.151410379155"
"1977","Light truck","BEV100","Other","910.285211643206"
"1977","Light truck","BEV100","Total","2195.30604442175"
"1977","Light truck","BEV300","HSS/AHSS","396.430882085148"
"1977","Light truck","BEV300","Cast Iron","16.5670382382257"
"1977","Light truck","BEV300","Mild steel and other steels","693.175061613204"
"1977","Light truck","BEV300","Wrought Aluminum","51.8269402716105"
"1977","Light truck","BEV300","Cast Aluminum","176.894274781197"
"1977","Light truck","BEV300","Other","1621.14108872979"
"1977","Light truck","BEV300","Total","2956.03528571917"
"1977","Light truck","FFV","HSS/AHSS","164.548755249271"
"1977","Light truck","FFV","Cast Iron","236.665800774323"
"1977","Light truck","FFV","Mild steel and other steels","948.040872174362"
"1977","Light truck","FFV","Wrought Aluminum","13.3058330594652"
"1977","Light truck","FFV","Cast Aluminum","33.0559546041765"
"1977","Light truck","FFV","Other","480.441735519201"
"1977","Light truck","FFV","Total","1876.05894950474"
"1977","Light truck","ICEV-D","HSS/AHSS","164.548755249271"
"1977","Light truck","ICEV-D","Cast Iron","236.665800774323"
