"Technology","Size","Year","Data_type","Value","Unit"
"FCV","Light truck",1978,"stock",0,"vehicle"
"FFV","Light truck",1978,"stock",0,"vehicle"
"HEV","Light truck",1978,"stock",0,"vehicle"
"ICEV-D","Light truck",1978,"stock",0,"vehicle"
"ICEV-G","Light truck",1978,"stock",31075606,"vehicle"
"PHEV20","Light truck",1978,"stock",0,"vehicle"
"PHEV40","Light truck",1978,"stock",0,"vehicle"
"BEV100","Car",1979,"stock",0,"vehicle"
"BEV300","Car",1979,"stock",0,"vehicle"
"CNG","Car",1979,"stock",0,"vehicle"
"FCV","Car",1979,"stock",0,"vehicle"
"FFV","Car",1979,"stock",0,"vehicle"
"HEV","Car",1979,"stock",0,"vehicle"
"ICEV-D","Car",1979,"stock",0,"vehicle"
"ICEV-G","Car",1979,"stock",121552058,"vehicle"
"PHEV20","Car",1979,"stock",0,"vehicle"
"PHEV40","Car",1979,"stock",0,"vehicle"
"BEV100","Light truck",1979,"stock",0,"vehicle"
"BEV300","Light truck",1979,"stock",0,"vehicle"
"CNG","Light truck",1979,"stock",0,"vehicle"
"FCV","Light truck",1979,"stock",0,"vehicle"
"FFV","Light truck",1979,"stock",0,"vehicle"
"HEV","Light truck",1979,"stock",0,"vehicle"
"ICEV-D","Light truck",1979,"stock",0,"vehicle"
"ICEV-G","Light truck",1979,"stock",32961626,"vehicle"
"PHEV20","Light truck",1979,"stock",0,"vehicle"
"PHEV40","Light truck",1979,"stock",0,"vehicle"
"BEV100","Car",1980,"stock",0,"vehicle"
"BEV300","Car",1980,"stock",0,"vehicle"
"CNG","Car",1980,"stock",0,"vehicle"
"FCV","Car",1980,"stock",0,"vehicle"
"FFV","Car",1980,"stock",0,"vehicle"
"HEV","Car",1980,"stock",0,"vehicle"
"ICEV-D","Car",1980,"stock",0,"vehicle"
"ICEV-G","Car",1980,"stock",124923354,"vehicle"
"PHEV20","Car",1980,"stock",0,"vehicle"
"PHEV40","Car",1980,"stock",0,"vehicle"
"BEV100","Light truck",1980,"stock",0,"vehicle"
"BEV300","Light truck",1980,"stock",0,"vehicle"
"CNG","Light truck",1980,"stock",0,"vehicle"
"FCV","Light truck",1980,"stock",0,"vehicle"
"FFV","Light truck",1980,"stock",0,"vehicle"
"HEV","Light truck",1980,"stock",0,"vehicle"
"ICEV-D","Light truck",1980,"stock",0,"vehicle"
"ICEV-G","Light truck",1980,"stock",34002967,"vehicle"
"PHEV20","Light truck",1980,"stock",0,"vehicle"
"PHEV40","Light truck",1980,"stock",0,"vehicle"
"BEV100","Car",1981,"stock",0,"vehicle"
"BEV300","Car",1981,"stock",0,"vehicle"
"CNG","Car",1981,"stock",0,"vehicle"
"FCV","Car",1981,"stock",0,"vehicle"
"FFV","Car",1981,"stock",0,"vehicle"
"HEV","Car",1981,"stock",0,"vehicle"
"ICEV-D","Car",1981,"stock",0,"vehicle"
"ICEV-G","Car",1981,"stock",126468629,"vehicle"
"PHEV20","Car",1981,"stock",0,"vehicle"
"PHEV40","Car",1981,"stock",0,"vehicle"
"BEV100","Light truck",1981,"stock",0,"vehicle"
"BEV300","Light truck",1981,"stock",0,"vehicle"
"CNG","Light truck",1981,"stock",0,"vehicle"
"FCV","Light truck",1981,"stock",0,"vehicle"
"FFV","Light truck",1981,"stock",0,"vehicle"
"HEV","Light truck",1981,"stock",0,"vehicle"
"ICEV-D","Light truck",1981,"stock",0,"vehicle"
"ICEV-G","Light truck",1981,"stock",35286069,"vehicle"
"PHEV20","Light truck",1981,"stock",0,"vehicle"
"PHEV40","Light truck",1981,"stock",0,"vehicle"
"BEV100","Car",1982,"stock",0,"vehicle"
"BEV300","Car",1982,"stock",0,"vehicle"
"CNG","Car",1982,"stock",0,"vehicle"
