"Technology","Region","Aeo_case","Aeo_year","Data_type","Size","Year","Unit","Value"
"BEV300","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",5186
"FCV","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",164209
"HEV","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",4169
"ICEV-D","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",4318
"ICEV-G","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",560982
"PHEV20","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","Middle Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",61
"BEV300","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",3130
"FCV","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",92290
"HEV","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",2329
"ICEV-D","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",2574
"ICEV-G","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",317690
"PHEV20","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","Mountain","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",43
"BEV300","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",2156
"FCV","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",61916
"HEV","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1566
"ICEV-D","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1464
"ICEV-G","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",214664
"PHEV20","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","New England","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",139
"BEV300","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",6893
"FCV","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",195082
"HEV","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",4996
"ICEV-D","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",6022
"ICEV-G","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",676561
"PHEV20","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","Pacific","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",165
"BEV300","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",8257
"FCV","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",253429
"HEV","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",6346
"ICEV-D","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",6671
"ICEV-G","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",870962
"PHEV20","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","South Atlantic","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",842
"BEV300","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",42089
"FCV","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1246037
"HEV","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",31347
"ICEV-D","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",33774
"ICEV-G","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",4299644
"PHEV20","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","United States","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",55
"BEV300","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",2773
"FCV","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",68564
"HEV","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1673
"ICEV-D","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",1743
"ICEV-G","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",244198
"PHEV20","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","West North Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
