"Fuel","Year","Value","Unit","Scenario"
"coal to liquids",2055,0.590259295,"EJ","SSP3"
"gas to liquids",2055,0.86545294,"EJ","SSP3"
"oil refining",2055,25.1432912,"EJ","SSP3"
"biomass liquids",2060,5.9359815348,"EJ","SSP3"
"coal to liquids",2060,0.684252819,"EJ","SSP3"
"gas to liquids",2060,0.96298027,"EJ","SSP3"
"oil refining",2060,24.2490079,"EJ","SSP3"
"biomass liquids",2065,5.6794193817,"EJ","SSP3"
"coal to liquids",2065,0.760555917,"EJ","SSP3"
"gas to liquids",2065,1.017954434,"EJ","SSP3"
"oil refining",2065,23.7106121,"EJ","SSP3"
"biomass liquids",2070,5.3753766749,"EJ","SSP3"
"coal to liquids",2070,0.889399561,"EJ","SSP3"
"gas to liquids",2070,1.09812532,"EJ","SSP3"
"oil refining",2070,23.0973759,"EJ","SSP3"
"biomass liquids",2075,5.0621384608,"EJ","SSP3"
"coal to liquids",2075,1.055191,"EJ","SSP3"
"gas to liquids",2075,1.18479142,"EJ","SSP3"
"oil refining",2075,22.394186,"EJ","SSP3"
"biomass liquids",2080,4.774331497,"EJ","SSP3"
"coal to liquids",2080,1.20745822,"EJ","SSP3"
"gas to liquids",2080,1.24508476,"EJ","SSP3"
"oil refining",2080,21.601817,"EJ","SSP3"
"biomass liquids",2085,4.525942628,"EJ","SSP3"
"coal to liquids",2085,1.31305049,"EJ","SSP3"
"gas to liquids",2085,1.2675062,"EJ","SSP3"
"oil refining",2085,20.779896,"EJ","SSP3"
"biomass liquids",2090,4.3077933713,"EJ","SSP3"
"coal to liquids",2090,1.37596975,"EJ","SSP3"
"gas to liquids",2090,1.26368959,"EJ","SSP3"
"oil refining",2090,19.959302,"EJ","SSP3"
"biomass liquids",2095,4.1054742424,"EJ","SSP3"
"coal to liquids",2095,1.41582918,"EJ","SSP3"
"gas to liquids",2095,1.24888095,"EJ","SSP3"
"oil refining",2095,19.101138,"EJ","SSP3"
"biomass liquids",2100,3.9069659784,"EJ","SSP3"
"coal to liquids",2100,1.46506474,"EJ","SSP3"
"gas to liquids",2100,1.24104199,"EJ","SSP3"
"oil refining",2100,18.265908,"EJ","SSP3"
"biomass liquids",1975,0,"EJ","SSP4"
"coal to liquids",1975,0,"EJ","SSP4"
"gas to liquids",1975,0,"EJ","SSP4"
"oil refining",1975,23.7865,"EJ","SSP4"
"biomass liquids",1990,0,"EJ","SSP4"
"coal to liquids",1990,0,"EJ","SSP4"
"gas to liquids",1990,0,"EJ","SSP4"
"oil refining",1990,31.688,"EJ","SSP4"
"biomass liquids",2005,0.3378266,"EJ","SSP4"
"coal to liquids",2005,0,"EJ","SSP4"
"gas to liquids",2005,0,"EJ","SSP4"
"oil refining",2005,38.9652,"EJ","SSP4"
"biomass liquids",2010,1.0622751,"EJ","SSP4"
"coal to liquids",2010,0,"EJ","SSP4"
"gas to liquids",2010,0,"EJ","SSP4"
"oil refining",2010,34.1005,"EJ","SSP4"
"biomass liquids",2015,1.28639549,"EJ","SSP4"
"coal to liquids",2015,0,"EJ","SSP4"
"gas to liquids",2015,0,"EJ","SSP4"
