Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
FFV,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,11404
HEV,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,16652
ICEV-D,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,107
ICEV-G,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,355820
PHEV20,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1006
PHEV40,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,780
BEV100,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1888
BEV300,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,4475
CNG,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1724
FCV,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,168
FFV,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,26402
HEV,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,42533
ICEV-D,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,218
ICEV-G,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,883024
PHEV20,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1732
PHEV40,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2017,vehicle,1617
BEV100,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,591
BEV300,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,551
CNG,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2998
FCV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,197
FFV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,108416
HEV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,7661
ICEV-D,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,6570
ICEV-G,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1089559
