"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"ICEV-D","Light truck",2026,"stock","REF",2021,"vehicle",1075737
"ICEV-G","Light truck",2026,"stock","REF",2021,"vehicle",118796234
"PHEV20","Light truck",2026,"stock","REF",2021,"vehicle",78222
"PHEV40","Light truck",2026,"stock","REF",2021,"vehicle",290193
"BEV100","Car",2027,"stock","REF",2021,"vehicle",185037
"BEV300","Car",2027,"stock","REF",2021,"vehicle",1386586
"CNG","Car",2027,"stock","REF",2021,"vehicle",52469
"FCV","Car",2027,"stock","REF",2021,"vehicle",8912
"FFV","Car",2027,"stock","REF",2021,"vehicle",3911822
"HEV","Car",2027,"stock","REF",2021,"vehicle",3937830
"ICEV-D","Car",2027,"stock","REF",2021,"vehicle",320689
"ICEV-G","Car",2027,"stock","REF",2021,"vehicle",110876091
"PHEV20","Car",2027,"stock","REF",2021,"vehicle",604945
"PHEV40","Car",2027,"stock","REF",2021,"vehicle",181896
"BEV100","Light truck",2027,"stock","REF",2021,"vehicle",221
"BEV300","Light truck",2027,"stock","REF",2021,"vehicle",534315
"CNG","Light truck",2027,"stock","REF",2021,"vehicle",100838
"FCV","Light truck",2027,"stock","REF",2021,"vehicle",151
"FFV","Light truck",2027,"stock","REF",2021,"vehicle",15021420
"HEV","Light truck",2027,"stock","REF",2021,"vehicle",2878243
"ICEV-D","Light truck",2027,"stock","REF",2021,"vehicle",1155687
"ICEV-G","Light truck",2027,"stock","REF",2021,"vehicle",120493454
"PHEV20","Light truck",2027,"stock","REF",2021,"vehicle",81343
"PHEV40","Light truck",2027,"stock","REF",2021,"vehicle",421126
"BEV100","Car",2028,"stock","REF",2021,"vehicle",176561
"BEV300","Car",2028,"stock","REF",2021,"vehicle",1527514
"CNG","Car",2028,"stock","REF",2021,"vehicle",51454
"FCV","Car",2028,"stock","REF",2021,"vehicle",9179
"FFV","Car",2028,"stock","REF",2021,"vehicle",3692580
"HEV","Car",2028,"stock","REF",2021,"vehicle",3948566
"ICEV-D","Car",2028,"stock","REF",2021,"vehicle",288593
"ICEV-G","Car",2028,"stock","REF",2021,"vehicle",109711067
"PHEV20","Car",2028,"stock","REF",2021,"vehicle",670428
"PHEV40","Car",2028,"stock","REF",2021,"vehicle",178349
"BEV100","Light truck",2028,"stock","REF",2021,"vehicle",200
"BEV300","Light truck",2028,"stock","REF",2021,"vehicle",626136
"CNG","Light truck",2028,"stock","REF",2021,"vehicle",98766
"FCV","Light truck",2028,"stock","REF",2021,"vehicle",200
"FFV","Light truck",2028,"stock","REF",2021,"vehicle",14817612
"HEV","Light truck",2028,"stock","REF",2021,"vehicle",3216967
"ICEV-D","Light truck",2028,"stock","REF",2021,"vehicle",1234612
"ICEV-G","Light truck",2028,"stock","REF",2021,"vehicle",122101273
"PHEV20","Light truck",2028,"stock","REF",2021,"vehicle",84517
"PHEV40","Light truck",2028,"stock","REF",2021,"vehicle",553276
"BEV100","Car",2029,"stock","REF",2021,"vehicle",166710
"BEV300","Car",2029,"stock","REF",2021,"vehicle",1683292
"CNG","Car",2029,"stock","REF",2021,"vehicle",50482
"FCV","Car",2029,"stock","REF",2021,"vehicle",9461
"FFV","Car",2029,"stock","REF",2021,"vehicle",3461684
"HEV","Car",2029,"stock","REF",2021,"vehicle",3965055
"ICEV-D","Car",2029,"stock","REF",2021,"vehicle",256143
"ICEV-G","Car",2029,"stock","REF",2021,"vehicle",108487640
"PHEV20","Car",2029,"stock","REF",2021,"vehicle",736498
"PHEV40","Car",2029,"stock","REF",2021,"vehicle",173827
"BEV100","Light truck",2029,"stock","REF",2021,"vehicle",180
"BEV300","Light truck",2029,"stock","REF",2021,"vehicle",729841
"CNG","Light truck",2029,"stock","REF",2021,"vehicle",96857
"FCV","Light truck",2029,"stock","REF",2021,"vehicle",260
"FFV","Light truck",2029,"stock","REF",2021,"vehicle",14619920
"HEV","Light truck",2029,"stock","REF",2021,"vehicle",3556786
"ICEV-D","Light truck",2029,"stock","REF",2021,"vehicle",1311946
"ICEV-G","Light truck",2029,"stock","REF",2021,"vehicle",123583878
"PHEV20","Light truck",2029,"stock","REF",2021,"vehicle",87832
"PHEV40","Light truck",2029,"stock","REF",2021,"vehicle",684358
"BEV100","Car",2030,"stock","REF",2021,"vehicle",155269
"BEV300","Car",2030,"stock","REF",2021,"vehicle",1859789
"CNG","Car",2030,"stock","REF",2021,"vehicle",49678
"FCV","Car",2030,"stock","REF",2021,"vehicle",9756
"FFV","Car",2030,"stock","REF",2021,"vehicle",3235047
"HEV","Car",2030,"stock","REF",2021,"vehicle",3998300
"ICEV-D","Car",2030,"stock","REF",2021,"vehicle",223927
"ICEV-G","Car",2030,"stock","REF",2021,"vehicle",107274124
"PHEV20","Car",2030,"stock","REF",2021,"vehicle",804554
"PHEV40","Car",2030,"stock","REF",2021,"vehicle",169080
"BEV100","Light truck",2030,"stock","REF",2021,"vehicle",162
"BEV300","Light truck",2030,"stock","REF",2021,"vehicle",848913
"CNG","Light truck",2030,"stock","REF",2021,"vehicle",95159
"FCV","Light truck",2030,"stock","REF",2021,"vehicle",331
"FFV","Light truck",2030,"stock","REF",2021,"vehicle",14427124
"HEV","Light truck",2030,"stock","REF",2021,"vehicle",3897502
"ICEV-D","Light truck",2030,"stock","REF",2021,"vehicle",1389189
"ICEV-G","Light truck",2030,"stock","REF",2021,"vehicle",124874580
"PHEV20","Light truck",2030,"stock","REF",2021,"vehicle",91391
"PHEV40","Light truck",2030,"stock","REF",2021,"vehicle",815818
"BEV100","Car",2031,"stock","REF",2021,"vehicle",143271
"BEV300","Car",2031,"stock","REF",2021,"vehicle",2060554
"CNG","Car",2031,"stock","REF",2021,"vehicle",49058
"FCV","Car",2031,"stock","REF",2021,"vehicle",10044
"FFV","Car",2031,"stock","REF",2021,"vehicle",3023342
"HEV","Car",2031,"stock","REF",2021,"vehicle",4048527
"ICEV-D","Car",2031,"stock","REF",2021,"vehicle",193808
"ICEV-G","Car",2031,"stock","REF",2021,"vehicle",106074913
"PHEV20","Car",2031,"stock","REF",2021,"vehicle",870904
"PHEV40","Car",2031,"stock","REF",2021,"vehicle",164238
"BEV100","Light truck",2031,"stock","REF",2021,"vehicle",144
"BEV300","Light truck",2031,"stock","REF",2021,"vehicle",983847
"CNG","Light truck",2031,"stock","REF",2021,"vehicle",93701
"FCV","Light truck",2031,"stock","REF",2021,"vehicle",416
"FFV","Light truck",2031,"stock","REF",2021,"vehicle",14233641
"HEV","Light truck",2031,"stock","REF",2021,"vehicle",4238248
"ICEV-D","Light truck",2031,"stock","REF",2021,"vehicle",1463235
"ICEV-G","Light truck",2031,"stock","REF",2021,"vehicle",126068939
"PHEV20","Light truck",2031,"stock","REF",2021,"vehicle",95326
"PHEV40","Light truck",2031,"stock","REF",2021,"vehicle",948330
"BEV100","Car",2032,"stock","REF",2021,"vehicle",130997
"BEV300","Car",2032,"stock","REF",2021,"vehicle",2285311
"CNG","Car",2032,"stock","REF",2021,"vehicle",48560
"FCV","Car",2032,"stock","REF",2021,"vehicle",10272
"FFV","Car",2032,"stock","REF",2021,"vehicle",2831422
"HEV","Car",2032,"stock","REF",2021,"vehicle",4118420
"ICEV-D","Car",2032,"stock","REF",2021,"vehicle",166217
"ICEV-G","Car",2032,"stock","REF",2021,"vehicle",104893196
"PHEV20","Car",2032,"stock","REF",2021,"vehicle",936714
"PHEV40","Car",2032,"stock","REF",2021,"vehicle",159110
"BEV100","Light truck",2032,"stock","REF",2021,"vehicle",129
"BEV300","Light truck",2032,"stock","REF",2021,"vehicle",1136957
"CNG","Light truck",2032,"stock","REF",2021,"vehicle",92435
"FCV","Light truck",2032,"stock","REF",2021,"vehicle",514
"FFV","Light truck",2032,"stock","REF",2021,"vehicle",14036830
"HEV","Light truck",2032,"stock","REF",2021,"vehicle",4577080
"ICEV-D","Light truck",2032,"stock","REF",2021,"vehicle",1534178
"ICEV-G","Light truck",2032,"stock","REF",2021,"vehicle",127069206
"PHEV20","Light truck",2032,"stock","REF",2021,"vehicle",99774
"PHEV40","Light truck",2032,"stock","REF",2021,"vehicle",1082200
"BEV100","Car",2033,"stock","REF",2021,"vehicle",119417
"BEV300","Car",2033,"stock","REF",2021,"vehicle",2537438
"CNG","Car",2033,"stock","REF",2021,"vehicle",48250
"FCV","Car",2033,"stock","REF",2021,"vehicle",10493
"FFV","Car",2033,"stock","REF",2021,"vehicle",2659161
"HEV","Car",2033,"stock","REF",2021,"vehicle",4210861
"ICEV-D","Car",2033,"stock","REF",2021,"vehicle",141984
"ICEV-G","Car",2033,"stock","REF",2021,"vehicle",103772896
"PHEV20","Car",2033,"stock","REF",2021,"vehicle",1000536
"PHEV40","Car",2033,"stock","REF",2021,"vehicle",154068
"BEV100","Light truck",2033,"stock","REF",2021,"vehicle",114
"BEV300","Light truck",2033,"stock","REF",2021,"vehicle",1308839
"CNG","Light truck",2033,"stock","REF",2021,"vehicle",91371
"FCV","Light truck",2033,"stock","REF",2021,"vehicle",625
"FFV","Light truck",2033,"stock","REF",2021,"vehicle",13851600
"HEV","Light truck",2033,"stock","REF",2021,"vehicle",4912544
"ICEV-D","Light truck",2033,"stock","REF",2021,"vehicle",1600479
"ICEV-G","Light truck",2033,"stock","REF",2021,"vehicle",127941414
"PHEV20","Light truck",2033,"stock","REF",2021,"vehicle",105100
"PHEV40","Light truck",2033,"stock","REF",2021,"vehicle",1216305
"BEV100","Car",2034,"stock","REF",2021,"vehicle",108730
"BEV300","Car",2034,"stock","REF",2021,"vehicle",2817595
"CNG","Car",2034,"stock","REF",2021,"vehicle",48117
"FCV","Car",2034,"stock","REF",2021,"vehicle",10698
"FFV","Car",2034,"stock","REF",2021,"vehicle",2514828
"HEV","Car",2034,"stock","REF",2021,"vehicle",4322300
"ICEV-D","Car",2034,"stock","REF",2021,"vehicle",120249
"ICEV-G","Car",2034,"stock","REF",2021,"vehicle",102732727
"PHEV20","Car",2034,"stock","REF",2021,"vehicle",1062857
"PHEV40","Car",2034,"stock","REF",2021,"vehicle",148884
"BEV100","Light truck",2034,"stock","REF",2021,"vehicle",101
"BEV300","Light truck",2034,"stock","REF",2021,"vehicle",1500646
"CNG","Light truck",2034,"stock","REF",2021,"vehicle",90876
"FCV","Light truck",2034,"stock","REF",2021,"vehicle",751
"FFV","Light truck",2034,"stock","REF",2021,"vehicle",13682712
"HEV","Light truck",2034,"stock","REF",2021,"vehicle",5244512
"ICEV-D","Light truck",2034,"stock","REF",2021,"vehicle",1663351
"ICEV-G","Light truck",2034,"stock","REF",2021,"vehicle",128689301
"PHEV20","Light truck",2034,"stock","REF",2021,"vehicle",111449
"PHEV40","Light truck",2034,"stock","REF",2021,"vehicle",1349934
"BEV100","Car",2035,"stock","REF",2021,"vehicle",99690
"BEV300","Car",2035,"stock","REF",2021,"vehicle",3126047
"CNG","Car",2035,"stock","REF",2021,"vehicle",48075
"FCV","Car",2035,"stock","REF",2021,"vehicle",10976
"FFV","Car",2035,"stock","REF",2021,"vehicle",2393529
"HEV","Car",2035,"stock","REF",2021,"vehicle",4454868
"ICEV-D","Car",2035,"stock","REF",2021,"vehicle",101087
"ICEV-G","Car",2035,"stock","REF",2021,"vehicle",101796371
"PHEV20","Car",2035,"stock","REF",2021,"vehicle",1122938
"PHEV40","Car",2035,"stock","REF",2021,"vehicle",144529
"BEV100","Light truck",2035,"stock","REF",2021,"vehicle",90
"BEV300","Light truck",2035,"stock","REF",2021,"vehicle",1711502
"CNG","Light truck",2035,"stock","REF",2021,"vehicle",90353
"FCV","Light truck",2035,"stock","REF",2021,"vehicle",888
"FFV","Light truck",2035,"stock","REF",2021,"vehicle",13523737
"HEV","Light truck",2035,"stock","REF",2021,"vehicle",5569719
"ICEV-D","Light truck",2035,"stock","REF",2021,"vehicle",1720818
"ICEV-G","Light truck",2035,"stock","REF",2021,"vehicle",129237349
"PHEV20","Light truck",2035,"stock","REF",2021,"vehicle",118407
"PHEV40","Light truck",2035,"stock","REF",2021,"vehicle",1481299
"BEV100","Car",2036,"stock","REF",2021,"vehicle",92033
"BEV300","Car",2036,"stock","REF",2021,"vehicle",3463355
"CNG","Car",2036,"stock","REF",2021,"vehicle",48035
"FCV","Car",2036,"stock","REF",2021,"vehicle",11320
"FFV","Car",2036,"stock","REF",2021,"vehicle",2291945
"HEV","Car",2036,"stock","REF",2021,"vehicle",4604332
"ICEV-D","Car",2036,"stock","REF",2021,"vehicle",83974
"ICEV-G","Car",2036,"stock","REF",2021,"vehicle",100947441
"PHEV20","Car",2036,"stock","REF",2021,"vehicle",1180735
"PHEV40","Car",2036,"stock","REF",2021,"vehicle",141166
"BEV100","Light truck",2036,"stock","REF",2021,"vehicle",74
"BEV300","Light truck",2036,"stock","REF",2021,"vehicle",1940671
"CNG","Light truck",2036,"stock","REF",2021,"vehicle",89983
"FCV","Light truck",2036,"stock","REF",2021,"vehicle",1035
"FFV","Light truck",2036,"stock","REF",2021,"vehicle",13374233
"HEV","Light truck",2036,"stock","REF",2021,"vehicle",5886637
"ICEV-D","Light truck",2036,"stock","REF",2021,"vehicle",1773015
"ICEV-G","Light truck",2036,"stock","REF",2021,"vehicle",129554810
"PHEV20","Light truck",2036,"stock","REF",2021,"vehicle",125901
"PHEV40","Light truck",2036,"stock","REF",2021,"vehicle",1608243
"BEV100","Car",2037,"stock","REF",2021,"vehicle",85860
"BEV300","Car",2037,"stock","REF",2021,"vehicle",3832981
"CNG","Car",2037,"stock","REF",2021,"vehicle",47999
"FCV","Car",2037,"stock","REF",2021,"vehicle",11759
"FFV","Car",2037,"stock","REF",2021,"vehicle",2215522
"HEV","Car",2037,"stock","REF",2021,"vehicle",4773021
"ICEV-D","Car",2037,"stock","REF",2021,"vehicle",69759
"ICEV-G","Car",2037,"stock","REF",2021,"vehicle",100206322
"PHEV20","Car",2037,"stock","REF",2021,"vehicle",1236254
"PHEV40","Car",2037,"stock","REF",2021,"vehicle",139302
"BEV100","Light truck",2037,"stock","REF",2021,"vehicle",61
"BEV300","Light truck",2037,"stock","REF",2021,"vehicle",2188614
"CNG","Light truck",2037,"stock","REF",2021,"vehicle",89761
"FCV","Light truck",2037,"stock","REF",2021,"vehicle",1193
"FFV","Light truck",2037,"stock","REF",2021,"vehicle",13237592
"HEV","Light truck",2037,"stock","REF",2021,"vehicle",6195880
"ICEV-D","Light truck",2037,"stock","REF",2021,"vehicle",1820462
"ICEV-G","Light truck",2037,"stock","REF",2021,"vehicle",129688446
"PHEV20","Light truck",2037,"stock","REF",2021,"vehicle",134086
"PHEV40","Light truck",2037,"stock","REF",2021,"vehicle",1729705
"BEV100","Car",2038,"stock","REF",2021,"vehicle",81118
"BEV300","Car",2038,"stock","REF",2021,"vehicle",4237655
"CNG","Car",2038,"stock","REF",2021,"vehicle",48053
"FCV","Car",2038,"stock","REF",2021,"vehicle",12230
"FFV","Car",2038,"stock","REF",2021,"vehicle",2157196
"HEV","Car",2038,"stock","REF",2021,"vehicle",4958533
"ICEV-D","Car",2038,"stock","REF",2021,"vehicle",57925
"ICEV-G","Car",2038,"stock","REF",2021,"vehicle",99554375
"PHEV20","Car",2038,"stock","REF",2021,"vehicle",1288645
"PHEV40","Car",2038,"stock","REF",2021,"vehicle",138338
"BEV100","Light truck",2038,"stock","REF",2021,"vehicle",55
"BEV300","Light truck",2038,"stock","REF",2021,"vehicle",2455662
"CNG","Light truck",2038,"stock","REF",2021,"vehicle",89698
"FCV","Light truck",2038,"stock","REF",2021,"vehicle",1359
