"Technology","Year","Value","Scenario","Unit"
"elec_coal (IGCC)",2040,0.490974,"SSP1","EJ"
"elec_CSP",2040,0.0287603,"SSP1","EJ"
"elec_CSP_storage",2040,0.111118,"SSP1","EJ"
"elec_gas (CC)",2040,3.98748,"SSP1","EJ"
"elec_gas (steam/CT)",2040,0.687497,"SSP1","EJ"
"elec_Gen_II_LWR",2040,1.51005,"SSP1","EJ"
"elec_Gen_III",2040,1.35885,"SSP1","EJ"
"elec_geothermal",2040,0.466799,"SSP1","EJ"
"elec_refined liquids (CC)",2040,0.0789026,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2040,0.0405868,"SSP1","EJ"
"global solar resource",2040,0.0820169395,"SSP1","EJ"
"onshore wind resource",2040,3.41156709,"SSP1","EJ"
"water_td_elec_C",2040,4.71456536766,"SSP1","EJ"
"water_td_elec_W",2040,0.00045536766,"SSP1","EJ"
"backup_electricity",2045,0.00013819258533,"SSP1","EJ"
"elec_biomass (conv)",2045,0.159829,"SSP1","EJ"
"elec_biomass (IGCC)",2045,0.0677696,"SSP1","EJ"
"elec_coal (conv pul)",2045,7.06705,"SSP1","EJ"
"elec_coal (IGCC)",2045,0.680939,"SSP1","EJ"
"elec_CSP",2045,0.0555755,"SSP1","EJ"
"elec_CSP_storage",2045,0.213708,"SSP1","EJ"
"elec_gas (CC)",2045,4.315,"SSP1","EJ"
"elec_gas (steam/CT)",2045,0.530574,"SSP1","EJ"
"elec_Gen_II_LWR",2045,1.14021,"SSP1","EJ"
"elec_Gen_III",2045,1.66289,"SSP1","EJ"
"elec_geothermal",2045,0.55938,"SSP1","EJ"
"elec_refined liquids (CC)",2045,0.0905708,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2045,0.032655,"SSP1","EJ"
"global solar resource",2045,0.1012520297,"SSP1","EJ"
"onshore wind resource",2045,3.9208918,"SSP1","EJ"
"water_td_elec_C",2045,4.735302818112,"SSP1","EJ"
"water_td_elec_W",2045,0.000562818112,"SSP1","EJ"
"backup_electricity",2050,0.0007422048238,"SSP1","EJ"
"elec_biomass (conv)",2050,0.183348,"SSP1","EJ"
"elec_biomass (IGCC)",2050,0.0901553,"SSP1","EJ"
"elec_coal (conv pul)",2050,6.8237,"SSP1","EJ"
"elec_coal (IGCC)",2050,0.865561,"SSP1","EJ"
"elec_CSP",2050,0.0943482,"SSP1","EJ"
"elec_CSP_storage",2050,0.361552,"SSP1","EJ"
"elec_gas (CC)",2050,4.57745,"SSP1","EJ"
"elec_gas (steam/CT)",2050,0.397389,"SSP1","EJ"
"elec_Gen_II_LWR",2050,0.812229,"SSP1","EJ"
"elec_Gen_III",2050,1.93818,"SSP1","EJ"
"elec_geothermal",2050,0.64408,"SSP1","EJ"
"elec_refined liquids (CC)",2050,0.0996607,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2050,0.0257929,"SSP1","EJ"
"global solar resource",2050,0.106152685,"SSP1","EJ"
"onshore wind resource",2050,4.35524709,"SSP1","EJ"
"water_td_elec_C",2050,4.755963224923,"SSP1","EJ"
"water_td_elec_W",2050,0.000593224923,"SSP1","EJ"
"backup_electricity",2055,0.0010134240164,"SSP1","EJ"
"elec_biomass (conv)",2055,0.20942,"SSP1","EJ"
"elec_biomass (IGCC)",2055,0.114356,"SSP1","EJ"
"elec_coal (conv pul)",2055,6.69133,"SSP1","EJ"
"elec_coal (IGCC)",2055,1.04979,"SSP1","EJ"
"elec_CSP",2055,0.143503,"SSP1","EJ"
"elec_CSP_storage",2055,0.538456,"SSP1","EJ"
"elec_gas (CC)",2055,4.81357,"SSP1","EJ"
"elec_gas (steam/CT)",2055,0.297591,"SSP1","EJ"
"elec_Gen_II_LWR",2055,0.550942,"SSP1","EJ"
"elec_Gen_III",2055,2.19605,"SSP1","EJ"
"elec_geothermal",2055,0.695482,"SSP1","EJ"
"elec_refined liquids (CC)",2055,0.11007,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2055,0.0206376,"SSP1","EJ"
"global solar resource",2055,0.104095074,"SSP1","EJ"
"onshore wind resource",2055,4.54460348,"SSP1","EJ"
"water_td_elec_C",2055,4.7765831227,"SSP1","EJ"
"water_td_elec_W",2055,0.0005831227,"SSP1","EJ"
"backup_electricity",2060,0.001263387529,"SSP1","EJ"
"elec_biomass (conv)",2060,0.249009,"SSP1","EJ"
"elec_biomass (IGCC)",2060,0.147599,"SSP1","EJ"
"elec_coal (conv pul)",2060,6.81209,"SSP1","EJ"
"elec_coal (IGCC)",2060,1.28347,"SSP1","EJ"
"elec_CSP",2060,0.21759,"SSP1","EJ"
"elec_CSP_storage",2060,0.794718,"SSP1","EJ"
"elec_gas (CC)",2060,4.44655,"SSP1","EJ"
"elec_gas (steam/CT)",2060,0.218854,"SSP1","EJ"
"elec_Gen_II_LWR",2060,0.360004,"SSP1","EJ"
"elec_Gen_III",2060,2.50757,"SSP1","EJ"
"elec_geothermal",2060,0.749646,"SSP1","EJ"
"elec_refined liquids (CC)",2060,0.132464,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2060,0.0117293,"SSP1","EJ"
"global solar resource",2060,0.097044453,"SSP1","EJ"
"onshore wind resource",2060,4.71825694,"SSP1","EJ"
