"Year","Region","Source","Mix"
2004,"FRCC","Coal",0.265490546747588
2004,"FRCC","Natural Gas",0.362211183665
2004,"FRCC","Nuclear",0.15350380841341
2004,"FRCC","Other",0.204566271318051
2004,"FRCC","Renewable",0.0142281898559501
2005,"FRCC","Coal",0.261435035753477
2005,"FRCC","Natural Gas",0.387426321397496
2005,"FRCC","Nuclear",0.13741778796952
2005,"FRCC","Other",0.201683527421786
2005,"FRCC","Renewable",0.0120373274577209
2006,"FRCC","Coal",0.265574270694412
2006,"FRCC","Natural Gas",0.442671615534371
2006,"FRCC","Nuclear",0.148464359086659
2006,"FRCC","Other",0.123404190876252
2006,"FRCC","Renewable",0.0198855638083063
2007,"FRCC","Coal",0.275405897932534
2007,"FRCC","Natural Gas",0.457756716329974
2007,"FRCC","Nuclear",0.137406206171682
2007,"FRCC","Other",0.10978757063312
2007,"FRCC","Renewable",0.0196436089326902
2008,"FRCC","Coal",0.272638678488869
2008,"FRCC","Natural Gas",0.48255785507646
2008,"FRCC","Nuclear",0.153951663238299
2008,"FRCC","Other",0.0708390134993586
2008,"FRCC","Renewable",0.0200127896970135
2009,"FRCC","Coal",0.236322110068842
2009,"FRCC","Natural Gas",0.546760338651746
2009,"FRCC","Nuclear",0.13971402615966
2009,"FRCC","Other",0.0572390570160449
2009,"FRCC","Renewable",0.0199644681037077
2010,"FRCC","Coal",0.243788711520428
2010,"FRCC","Natural Gas",0.572338434275123
2010,"FRCC","Nuclear",0.109803349135607
2010,"FRCC","Other",0.0546886031289465
2010,"FRCC","Renewable",0.0193809019398954
2011,"FRCC","Coal",0.22114121707758
2011,"FRCC","Natural Gas",0.62222706044237
2011,"FRCC","Nuclear",0.10434253502178
2011,"FRCC","Other",0.0313969247597349
2011,"FRCC","Renewable",0.0208922626985351
2012,"FRCC","Coal",0.194036696098185
2012,"FRCC","Natural Gas",0.679819297778416
2012,"FRCC","Nuclear",0.0844879051473987
2012,"FRCC","Other",0.0215296912192112
2012,"FRCC","Renewable",0.0201264097567889
2013,"FRCC","Coal",0.199956436769655
2013,"FRCC","Natural Gas",0.628636383698237
2013,"FRCC","Nuclear",0.124229786442905
2013,"FRCC","Other",0.0263247018609334
2013,"FRCC","Renewable",0.020852691228269
2014,"FRCC","Coal",0.216347064595481
2014,"FRCC","Natural Gas",0.613540426598789
2014,"FRCC","Nuclear",0.126507739558315
2014,"FRCC","Other",0.0215327267923312
2014,"FRCC","Renewable",0.0220720424550841
2015,"FRCC","Coal",0.169905186364723
2015,"FRCC","Natural Gas",0.660875991739821
2015,"FRCC","Nuclear",0.124653428353415
2015,"FRCC","Other",0.0227457999025091
2015,"FRCC","Renewable",0.0218195936395318
2016,"FRCC","Coal",0.160315208543316
2016,"FRCC","Natural Gas",0.665667841078137
2016,"FRCC","Nuclear",0.127761235737944
2016,"FRCC","Other",0.0258717112091079
2016,"FRCC","Renewable",0.0203840034314945
2017,"FRCC","Coal",0.150977952799921
2017,"FRCC","Natural Gas",0.677423825566057
2017,"FRCC","Nuclear",0.127401281424368
2017,"FRCC","Other",0.0199068500732097
2017,"FRCC","Renewable",0.0242900901364446
2001,"HICC","Coal",0.153837294408902
2001,"HICC","Other",0.816983365320312
2001,"HICC","Renewable",0.0291793402707858
2002,"HICC","Coal",0.133050896594127
2002,"HICC","Other",0.844220514906691
2002,"HICC","Renewable",0.0227285884991827
2003,"HICC","Coal",0.150180258485493
2003,"HICC","Other",0.814129486623631
2003,"HICC","Renewable",0.0356902548908754
2004,"HICC","Coal",0.140579163859669
2004,"HICC","Other",0.818628265842631
2004,"HICC","Renewable",0.0407925702976991
2005,"HICC","Coal",0.14153827896727
2005,"HICC","Other",0.817572941173541
2005,"HICC","Renewable",0.0408887798591898
2006,"HICC","Coal",0.133971096994654
2006,"HICC","Other",0.802206911127644
2006,"HICC","Renewable",0.0638219918777019
2007,"HICC","Coal",0.136901369128265
2007,"HICC","Other",0.789772964619509
2007,"HICC","Renewable",0.0733256662522255
2008,"HICC","Coal",0.144825608661561
2008,"HICC","Other",0.779478955376387
2008,"HICC","Renewable",0.0756954359620518
2009,"HICC","Coal",0.136248255778564
2009,"HICC","Other",0.789506172106986
2009,"HICC","Renewable",0.0742455721144499
2010,"HICC","Coal",0.142627194007968
2010,"HICC","Other",0.781940169872633
2010,"HICC","Renewable",0.0754326361193992
2011,"HICC","Coal",0.138620168167192
2011,"HICC","Other",0.766561666668788
2011,"HICC","Renewable",0.0948181651640196
2012,"HICC","Coal",0.146843140434896
2012,"HICC","Other",0.753876180898352
2012,"HICC","Renewable",0.0992806786667514
2013,"HICC","Coal",0.136751456131408
2013,"HICC","Other",0.746032304509785
2013,"HICC","Renewable",0.117216239358808
2014,"HICC","Coal",0.148094902628964
2014,"HICC","Other",0.724522427528362
2014,"HICC","Renewable",0.127382669842674
2015,"HICC","Coal",0.127259294643067
2015,"HICC","Other",0.739225664910997
2015,"HICC","Renewable",0.133515040445936
2016,"HICC","Coal",0.149559749840179
2016,"HICC","Other",0.706805935934665
2016,"HICC","Renewable",0.143634314225156
2017,"HICC","Coal",0.164787973842374
2017,"HICC","Other",0.794797218913257
2017,"HICC","Renewable",0.0404148072443686
2001,"MRO","Coal",0.760706042420451
2001,"MRO","Natural Gas",0.0177434111250937
2001,"MRO","Nuclear",0.146590168488196
2001,"MRO","Other",0.0109856015144628
2001,"MRO","Renewable",0.0639747764517965
2002,"MRO","Coal",0.735648226199019
2002,"MRO","Natural Gas",0.0193048350931354
2002,"MRO","Nuclear",0.164196179819926
2002,"MRO","Other",0.0108005802406848
2002,"MRO","Renewable",0.0700501786472345
2003,"MRO","Coal",0.750686175708813
2003,"MRO","Natural Gas",0.0204840535956894
2003,"MRO","Nuclear",0.147140567920727
2003,"MRO","Other",0.0125711684611832
2003,"MRO","Renewable",0.0691180343135868
2004,"MRO","Coal",0.736464060494512
2004,"MRO","Natural Gas",0.0231926112078485
2004,"MRO","Nuclear",0.16142812892027
2004,"MRO","Other",0.0126351575743686
2004,"MRO","Renewable",0.0662800418030018
2005,"MRO","Coal",0.724879747869241
2005,"MRO","Natural Gas",0.0497017395160043
2005,"MRO","Nuclear",0.143640825162198
2005,"MRO","Other",0.0129331879148086
2005,"MRO","Renewable",0.0688444995377482
2006,"MRO","Coal",0.719615215372988
2006,"MRO","Natural Gas",0.0389858036200332
2006,"MRO","Nuclear",0.152195035246844
2006,"MRO","Other",0.0104213972348967
2006,"MRO","Renewable",0.0787825485252381
2007,"MRO","Coal",0.701052428964455
2007,"MRO","Natural Gas",0.0516658530606019
2007,"MRO","Nuclear",0.158355778314666
2007,"MRO","Other",0.0113340663027295
2007,"MRO","Renewable",0.0775918733575483
2008,"MRO","Coal",0.710235254262081
2008,"MRO","Natural Gas",0.0353636178271108
2008,"MRO","Nuclear",0.147768971527778
2008,"MRO","Other",0.0093566154230162
2008,"MRO","Renewable",0.0972755409600141
2009,"MRO","Coal",0.683821737565167
2009,"MRO","Natural Gas",0.0273615794780039
2009,"MRO","Nuclear",0.143323672042402
2009,"MRO","Other",0.00712440433067654
2009,"MRO","Renewable",0.13836860658375
2010,"MRO","Coal",0.652821330148556
2010,"MRO","Natural Gas",0.0326997536301101
2010,"MRO","Nuclear",0.147009580350382
2010,"MRO","Other",0.00726654602012931
2010,"MRO","Renewable",0.160202789850822
2011,"MRO","Coal",0.639343640548969
2011,"MRO","Natural Gas",0.0287590289797521
2011,"MRO","Nuclear",0.126225578902608
2011,"MRO","Other",0.00752107391228633
2011,"MRO","Renewable",0.198150677656384
2012,"MRO","Coal",0.602328595702201
2012,"MRO","Natural Gas",0.0553644759067945
2012,"MRO","Nuclear",0.118554039857765
2012,"MRO","Other",0.00647295760256286
2012,"MRO","Renewable",0.217279930930676
2013,"MRO","Coal",0.616834163447975
2013,"MRO","Natural Gas",0.0484243472503528
2013,"MRO","Nuclear",0.109762593319277
2013,"MRO","Other",0.0063105266679493
2013,"MRO","Renewable",0.218668369314446
2014,"MRO","Coal",0.601643156500797
2014,"MRO","Natural Gas",0.0388748129758464
2014,"MRO","Nuclear",0.118800920677916
2014,"MRO","Other",0.00629469251979727
2014,"MRO","Renewable",0.234386417325643
2015,"MRO","Coal",0.55933381888413
2015,"MRO","Natural Gas",0.0690385193477568
2015,"MRO","Nuclear",0.122519148852506
2015,"MRO","Other",0.00558170895130434
2015,"MRO","Renewable",0.243526803964304
2016,"MRO","Coal",0.515185428533381
2016,"MRO","Natural Gas",0.0843167561273334
2016,"MRO","Nuclear",0.125455463584655
2016,"MRO","Other",0.00557052828010686
2016,"MRO","Renewable",0.269471823474523
2017,"MRO","Coal",0.541093959918498
2017,"MRO","Natural Gas",0.0734221104740709
2017,"MRO","Nuclear",0.119825006901011
2017,"MRO","Other",0.00641193622697672
2017,"MRO","Renewable",0.259246986479443
2001,"NPCC","Coal",0.164037148835284
2001,"NPCC","Natural Gas",0.273763157511321
2001,"NPCC","Nuclear",0.286127849778166
2001,"NPCC","Other",0.148655407274143
2001,"NPCC","Renewable",0.127416436601086
2002,"NPCC","Coal",0.161247933710355
2002,"NPCC","Natural Gas",0.31419862322998
2002,"NPCC","Nuclear",0.281447387835543
2002,"NPCC","Other",0.109271046666844
2002,"NPCC","Renewable",0.133835008557277
2003,"NPCC","Coal",0.162229248774731
2003,"NPCC","Natural Gas",0.275669261858846
2003,"NPCC","Nuclear",0.286109397093444
2003,"NPCC","Other",0.14498897299528
2003,"NPCC","Renewable",0.131003119277699
2004,"NPCC","Coal",0.155765881700861
2004,"NPCC","Natural Gas",0.279674335099288
2004,"NPCC","Nuclear",0.286734051796419
2004,"NPCC","Other",0.14708838127447
2004,"NPCC","Renewable",0.130737350128962
2005,"NPCC","Coal",0.144917852348301
2005,"NPCC","Natural Gas",0.289626159860214
2005,"NPCC","Nuclear",0.273605390602642
2005,"NPCC","Other",0.152870026572315
2005,"NPCC","Renewable",0.138980570616528
2006,"NPCC","Coal",0.148189574765022
2006,"NPCC","Natural Gas",0.34601561015608
2006,"NPCC","Nuclear",0.288352512441222
2006,"NPCC","Other",0.0522139062688308
2006,"NPCC","Renewable",0.165228396368844
2007,"NPCC","Coal",0.149145444736488
2007,"NPCC","Natural Gas",0.357570176397884
2007,"NPCC","Nuclear",0.285643286630313
2007,"NPCC","Other",0.0596447001331048
2007,"NPCC","Renewable",0.14799639210221
2008,"NPCC","Coal",0.142000388316121
2008,"NPCC","Natural Gas",0.355657532703567
2008,"NPCC","Nuclear",0.29451708828926
2008,"NPCC","Other",0.0370641651111338
2008,"NPCC","Renewable",0.170760825579919
2009,"NPCC","Coal",0.10674222758852
2009,"NPCC","Natural Gas",0.364280012804876
2009,"NPCC","Nuclear",0.312850075276432
2009,"NPCC","Other",0.0283709152400897
2009,"NPCC","Renewable",0.187756769090082
2010,"NPCC","Coal",0.10374680856403
2010,"NPCC","Natural Gas",0.403323430838469
2010,"NPCC","Nuclear",0.300894981756989
2010,"NPCC","Other",0.0216868623893494
2010,"NPCC","Renewable",0.170347916451163
2011,"NPCC","Coal",0.062940954865903
2011,"NPCC","Natural Gas",0.432821749020445
2011,"NPCC","Nuclear",0.298454939997929
2011,"NPCC","Other",0.0182880168633636
2011,"NPCC","Renewable",0.187494339252359
2012,"NPCC","Coal",0.0316330948626318
2012,"NPCC","Natural Gas",0.476347709159281
2012,"NPCC","Nuclear",0.300400309794858
2012,"NPCC","Other",0.0160612017687903
2012,"NPCC","Renewable",0.175557684414438
2013,"NPCC","Coal",0.0431940449770894
2013,"NPCC","Natural Gas",0.423320386696002
2013,"NPCC","Nuclear",0.325801709772841
2013,"NPCC","Other",0.0200336841455975
2013,"NPCC","Renewable",0.18765017440847
2014,"NPCC","Coal",0.0387816064015479
2014,"NPCC","Natural Gas",0.411684348330933
2014,"NPCC","Nuclear",0.322617151607866
2014,"NPCC","Other",0.0287446746388022
2014,"NPCC","Renewable",0.198172219020852
2015,"NPCC","Coal",0.0248332747850254
2015,"NPCC","Natural Gas",0.443542773391446
2015,"NPCC","Nuclear",0.309170926017033
2015,"NPCC","Other",0.0261918223511188
2015,"NPCC","Renewable",0.196261203455377
2016,"NPCC","Coal",0.0177438191858053
2016,"NPCC","Natural Gas",0.454109851084606
2016,"NPCC","Nuclear",0.30566510666122
2016,"NPCC","Other",0.0168649692425699
2016,"NPCC","Renewable",0.205616253825798
2017,"NPCC","Coal",0.0108497676622646
2017,"NPCC","Natural Gas",0.416987449878403
2017,"NPCC","Nuclear",0.325398883268059
2017,"NPCC","Other",0.0177596540138058
2017,"NPCC","Renewable",0.229004245177467
2001,"RFC","Coal",0.648606902585109
2001,"RFC","Natural Gas",0.0473458665511069
2001,"RFC","Nuclear",0.271654647182267
2001,"RFC","Other",0.0225056640344525
2001,"RFC","Renewable",0.00988691964706535
2002,"RFC","Coal",0.650913528291805
2002,"RFC","Natural Gas",0.0599719509756478
2002,"RFC","Nuclear",0.259610483285589
2002,"RFC","Other",0.0189355387757613
2002,"RFC","Renewable",0.010568498671197
2003,"RFC","Coal",0.665118662149384
2003,"RFC","Natural Gas",0.0418447915131584
2003,"RFC","Nuclear",0.257413838870524
2003,"RFC","Other",0.0221202508017858
2003,"RFC","Renewable",0.0135024566651484
2004,"RFC","Coal",0.649300278883793
2004,"RFC","Natural Gas",0.0510322802671894
2004,"RFC","Nuclear",0.261556339628144
2004,"RFC","Other",0.0241354265734737
2004,"RFC","Renewable",0.0139756746473997
2005,"RFC","Coal",0.650949606470657
2005,"RFC","Natural Gas",0.0566308406334434
2005,"RFC","Nuclear",0.257841715344895
2005,"RFC","Other",0.0234671772792792
2005,"RFC","Renewable",0.0111106602717252
2006,"RFC","Coal",0.653027670184221
2006,"RFC","Natural Gas",0.05605820311717
2006,"RFC","Nuclear",0.261989365910247
2006,"RFC","Other",0.0130359279768337
2006,"RFC","Renewable",0.0158888328115281
2007,"RFC","Coal",0.642764214599019
2007,"RFC","Natural Gas",0.0712200819961321
2007,"RFC","Nuclear",0.259652907726065
2007,"RFC","Other",0.012743663132033
2007,"RFC","Renewable",0.0136191325467513
2008,"RFC","Coal",0.638089954951892
2008,"RFC","Natural Gas",0.0651355897332885
2008,"RFC","Nuclear",0.267468520042851
2008,"RFC","Other",0.0111496367329228
2008,"RFC","Renewable",0.0181562985390448
2009,"RFC","Coal",0.603372216519869
2009,"RFC","Natural Gas",0.0841433808940126
2009,"RFC","Nuclear",0.278752364788067
2009,"RFC","Other",0.0103457549301749
2009,"RFC","Renewable",0.0233862828678763
2010,"RFC","Coal",0.593395767115841
2010,"RFC","Natural Gas",0.100479840833565
2010,"RFC","Nuclear",0.271105448880338
2010,"RFC","Other",0.0100223768655683
2010,"RFC","Renewable",0.0249965663046875
2011,"RFC","Coal",0.557606303770759
2011,"RFC","Natural Gas",0.123642620105283
2011,"RFC","Nuclear",0.277044889700592
2011,"RFC","Other",0.0114696960707641
2011,"RFC","Renewable",0.0302364903526015
2012,"RFC","Coal",0.491123580955348
2012,"RFC","Natural Gas",0.18218207205223
2012,"RFC","Nuclear",0.283192208287578
2012,"RFC","Other",0.0117850026660524
2012,"RFC","Renewable",0.0317171360387923
2013,"RFC","Coal",0.511574866311793
2013,"RFC","Natural Gas",0.149134418826304
2013,"RFC","Nuclear",0.287902374183814
2013,"RFC","Other",0.0134735107298058
2013,"RFC","Renewable",0.0379148299482836
2014,"RFC","Coal",0.502699184800783
2014,"RFC","Natural Gas",0.156882383306765
2014,"RFC","Nuclear",0.285640983536919
2014,"RFC","Other",0.014509388548028
2014,"RFC","Renewable",0.040268059807506
2015,"RFC","Coal",0.437350850904907
2015,"RFC","Natural Gas",0.20789525717826
2015,"RFC","Nuclear",0.296242443074282
2015,"RFC","Other",0.0145067135848985
2015,"RFC","Renewable",0.0440047352576529
2016,"RFC","Coal",0.392337644013425
2016,"RFC","Natural Gas",0.250362092490302
2016,"RFC","Nuclear",0.297911373455981
2016,"RFC","Other",0.0122870724523595
2016,"RFC","Renewable",0.0471018175879322
2017,"RFC","Coal",0.391380093943138
2017,"RFC","Natural Gas",0.234004230833565
2017,"RFC","Nuclear",0.317268056668032
2017,"RFC","Other",0.0132747097025508
2017,"RFC","Renewable",0.044072908852714
2001,"SERC","Coal",0.578127270528427
2001,"SERC","Natural Gas",0.096740656473737
2001,"SERC","Nuclear",0.263841300250981
2001,"SERC","Other",0.0203635257172488
2001,"SERC","Renewable",0.040927247029606
2002,"SERC","Coal",0.55939270873779
2002,"SERC","Natural Gas",0.118431393463655
2002,"SERC","Nuclear",0.259447078654375
2002,"SERC","Other",0.0162806570298111
2002,"SERC","Renewable",0.0464481621143686
2003,"SERC","Coal",0.573943140719957
2003,"SERC","Natural Gas",0.0908653447553131
2003,"SERC","Nuclear",0.258936511805966
2003,"SERC","Other",0.0202857828246861
2003,"SERC","Renewable",0.0559692198940784
2004,"SERC","Coal",0.562059949295792
2004,"SERC","Natural Gas",0.109302694405611
2004,"SERC","Nuclear",0.254498639296108
2004,"SERC","Other",0.0226618355402596
2004,"SERC","Renewable",0.0514768814622298
2005,"SERC","Coal",0.567269082118069
2005,"SERC","Natural Gas",0.117856992388189
2005,"SERC","Nuclear",0.246948711756445
2005,"SERC","Other",0.0186636791414744
2005,"SERC","Renewable",0.0492615345958225
