"Units","scenario","region","sector","mode","technology","input","year","value"
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2065,1.1537519
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2070,1.1160538
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2075,1.0790829
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2080,1.0368125
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2085,0.9892321
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2090,0.9367181
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2095,0.8774296
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","Liquids","refined liquids enduse",2100,0.8234679
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2015,0.0378989
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2020,0.0944021
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2025,0.1806044
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2030,0.2617889
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2035,0.33767918
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2040,0.3834796
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2045,0.4241139
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2050,0.4556994
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2055,0.4879049
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2060,0.5209021
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2065,0.5526856
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2070,0.5830007
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2075,0.610312
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2080,0.6312307
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2085,0.6460563
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2090,0.6558104
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2095,0.6616517
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Compact Car","NG","delivered gas",2100,0.6709406
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2015,0.000271613
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2020,0.00320323
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2025,0.008368376
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2030,0.0145361532
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2035,0.0219879415
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2040,0.028929563
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2045,0.03715814
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2050,0.04657812
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2055,0.05491634
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2060,0.06250044
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2065,0.0694264
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2070,0.07631055
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2075,0.08325949
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2080,0.09030238
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2085,0.09725349
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2090,0.10421258
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2095,0.11102446
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","BEV","elect_td_trn",2100,0.11406663
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2020,0.00119284
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2025,0.003899036
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2030,0.007374162
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2035,0.011591664
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2040,0.015540296
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2045,0.020046331
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2050,0.024897868
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2055,0.0301578
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2060,0.03591717
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2065,0.04212186
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2070,0.04867965
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2075,0.05552295
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2080,0.06234643
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2085,0.06898191
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2090,0.07542261
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2095,0.08163781
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","FCEV","H2 enduse",2100,0.08631124
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2015,0.0827249
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2020,0.2385828
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2025,0.3890657
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2030,0.4805777
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2035,0.5300869
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2040,0.5175165
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2045,0.4896375
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2050,0.459125
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2055,0.4362541
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2060,0.419326
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2065,0.4066599
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2070,0.395598
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2075,0.3848346
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2080,0.37222
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2085,0.3576892
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2090,0.3412505
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2095,0.3225683
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Hybrid Liquids","refined liquids enduse",2100,0.305147
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",1975,1.04176
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",1990,1.21552
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2005,1.63151
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2010,1.5433
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2015,1.46503
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2020,1.276709
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2025,1.035395
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2030,0.8449879
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2035,0.6794564
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2040,0.6315661
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2045,0.5926379
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2050,0.553619
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2055,0.5247533
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2060,0.5031816
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2065,0.4861363
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2070,0.4707409
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2075,0.4556816
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2080,0.4386226
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2085,0.419492
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2090,0.3985791
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2095,0.3750047
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","Liquids","refined liquids enduse",2100,0.3535044
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2015,0.0121546
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2020,0.03059904
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2025,0.05936899
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2030,0.08722779
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2035,0.1140653
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2040,0.13093711
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2045,0.14618895
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2050,0.15831702
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2055,0.17039616
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2060,0.18262327
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2065,0.19436141
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2070,0.2055644
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2075,0.2157357
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2080,0.2237796
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2085,0.2297524
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2090,0.2340581
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2095,0.236951
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Large Car","NG","delivered gas",2100,0.2408812
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2015,0.000692698
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2020,0.009214355
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2025,0.024456656
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2030,0.042970131
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2035,0.065735823
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2040,0.08752848
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2045,0.11380999
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2050,0.14432425
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2055,0.17178343
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2060,0.1973579
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2065,0.22100894
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2070,0.2448901
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2075,0.269545
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2080,0.2946824
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2085,0.3202083
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2090,0.3462161
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2095,0.3725112
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","BEV","elect_td_trn",2100,0.3855402
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2020,0.00395526
