"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV20","Light truck",2027,"sales","REF",2021,"vehicle",5345
"PHEV40","Light truck",2027,"sales","REF",2021,"vehicle",132550
"BEV100","Car",2028,"sales","REF",2021,"vehicle",2594
"BEV300","Car",2028,"sales","REF",2021,"vehicle",162308
"CNG","Car",2028,"sales","REF",2021,"vehicle",4645
"FCV","Car",2028,"sales","REF",2021,"vehicle",506
"FFV","Car",2028,"sales","REF",2021,"vehicle",102147
"HEV","Car",2028,"sales","REF",2021,"vehicle",249042
"ICEV-D","Car",2028,"sales","REF",2021,"vehicle",91
"ICEV-G","Car",2028,"sales","REF",2021,"vehicle",5400588
"PHEV20","Car",2028,"sales","REF",2021,"vehicle",80460
"PHEV40","Car",2028,"sales","REF",2021,"vehicle",5235
"BEV100","Light truck",2028,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2028,"sales","REF",2021,"vehicle",97457
"CNG","Light truck",2028,"sales","REF",2021,"vehicle",11743
"FCV","Light truck",2028,"sales","REF",2021,"vehicle",49
"FFV","Light truck",2028,"sales","REF",2021,"vehicle",698672
"HEV","Light truck",2028,"sales","REF",2021,"vehicle",394046
"ICEV-D","Light truck",2028,"sales","REF",2021,"vehicle",112084
"ICEV-G","Light truck",2028,"sales","REF",2021,"vehicle",7467114
"PHEV20","Light truck",2028,"sales","REF",2021,"vehicle",6035
"PHEV40","Light truck",2028,"sales","REF",2021,"vehicle",134485
"BEV100","Car",2029,"sales","REF",2021,"vehicle",2775
"BEV300","Car",2029,"sales","REF",2021,"vehicle",182770
"CNG","Car",2029,"sales","REF",2021,"vehicle",4709
"FCV","Car",2029,"sales","REF",2021,"vehicle",577
"FFV","Car",2029,"sales","REF",2021,"vehicle",103075
"HEV","Car",2029,"sales","REF",2021,"vehicle",265578
"ICEV-D","Car",2029,"sales","REF",2021,"vehicle",92
"ICEV-G","Car",2029,"sales","REF",2021,"vehicle",5432054
"PHEV20","Car",2029,"sales","REF",2021,"vehicle",84511
"PHEV40","Car",2029,"sales","REF",2021,"vehicle",5747
"BEV100","Light truck",2029,"sales","REF",2021,"vehicle",0
