"Technology","Size","Year","Data_type","Value","Unit"
"BEV100","Car",1974,"sales",0,"vehicle"
"BEV300","Car",1974,"sales",0,"vehicle"
"CNG","Car",1974,"sales",0,"vehicle"
"FCV","Car",1974,"sales",0,"vehicle"
"FFV","Car",1974,"sales",0,"vehicle"
"HEV","Car",1974,"sales",0,"vehicle"
"ICEV-D","Car",1974,"sales",17706.00000984,"vehicle"
"ICEV-G","Car",1974,"sales",8835294.00491016,"vehicle"
"PHEV20","Car",1974,"sales",0,"vehicle"
"PHEV40","Car",1974,"sales",0,"vehicle"
"BEV100","Light truck",1974,"sales",0,"vehicle"
"BEV300","Light truck",1974,"sales",0,"vehicle"
"CNG","Light truck",1974,"sales",0,"vehicle"
"FCV","Light truck",1974,"sales",0,"vehicle"
"FFV","Light truck",1974,"sales",0,"vehicle"
"HEV","Light truck",1974,"sales",0,"vehicle"
"ICEV-D","Light truck",1974,"sales",7013.99998524,"vehicle"
"ICEV-G","Light truck",1974,"sales",2330985.99509476,"vehicle"
"PHEV20","Light truck",1974,"sales",0,"vehicle"
"PHEV40","Light truck",1974,"sales",0,"vehicle"
"BEV100","Car",1975,"sales",0,"vehicle"
"BEV300","Car",1975,"sales",0,"vehicle"
"CNG","Car",1975,"sales",0,"vehicle"
"FCV","Car",1975,"sales",0,"vehicle"
"FFV","Car",1975,"sales",0,"vehicle"
"HEV","Car",1975,"sales",0,"vehicle"
"ICEV-D","Car",1975,"sales",26734.4000154225,"vehicle"
"ICEV-G","Car",1975,"sales",8597265.60495958,"vehicle"
"PHEV20","Car",1975,"sales",0,"vehicle"
"PHEV40","Car",1975,"sales",0,"vehicle"
"BEV100","Light truck",1975,"sales",0,"vehicle"
"BEV300","Light truck",1975,"sales",0,"vehicle"
"CNG","Light truck",1975,"sales",0,"vehicle"
"FCV","Light truck",1975,"sales",0,"vehicle"
"FFV","Light truck",1975,"sales",0,"vehicle"
"HEV","Light truck",1975,"sales",0,"vehicle"
"ICEV-D","Light truck",1975,"sales",9123.9999801,"vehicle"
"ICEV-G","Light truck",1975,"sales",2271875.9950449,"vehicle"
"PHEV20","Light truck",1975,"sales",0,"vehicle"
"PHEV40","Light truck",1975,"sales",0,"vehicle"
"BEV100","Car",1976,"sales",0,"vehicle"
"BEV300","Car",1976,"sales",0,"vehicle"
"CNG","Car",1976,"sales",0,"vehicle"
"FCV","Car",1976,"sales",0,"vehicle"
"FFV","Car",1976,"sales",0,"vehicle"
"HEV","Car",1976,"sales",0,"vehicle"
"ICEV-D","Car",1976,"sales",22242.0000129536,"vehicle"
"ICEV-G","Car",1976,"sales",10087758.005875,"vehicle"
"PHEV20","Car",1976,"sales",0,"vehicle"
"PHEV40","Car",1976,"sales",0,"vehicle"
"BEV100","Light truck",1976,"sales",0,"vehicle"
"BEV300","Light truck",1976,"sales",0,"vehicle"
"CNG","Light truck",1976,"sales",0,"vehicle"
"FCV","Light truck",1976,"sales",0,"vehicle"
"FFV","Light truck",1976,"sales",0,"vehicle"
"HEV","Light truck",1976,"sales",0,"vehicle"
"ICEV-D","Light truck",1976,"sales",11823.999976448,"vehicle"
"ICEV-G","Light truck",1976,"sales",2944175.99413555,"vehicle"
"PHEV20","Light truck",1976,"sales",0,"vehicle"
"PHEV40","Light truck",1976,"sales",0,"vehicle"
"BEV100","Car",1977,"sales",0,"vehicle"
"BEV300","Car",1977,"sales",0,"vehicle"
"CNG","Car",1977,"sales",0,"vehicle"
"FCV","Car",1977,"sales",0,"vehicle"
"FFV","Car",1977,"sales",0,"vehicle"
"HEV","Car",1977,"sales",0,"vehicle"
"ICEV-D","Car",1977,"sales",38022.2000177106,"vehicle"
"ICEV-G","Car",1977,"sales",11144977.8051913,"vehicle"
"PHEV20","Car",1977,"sales",0,"vehicle"
"PHEV40","Car",1977,"sales",0,"vehicle"
"BEV100","Light truck",1977,"sales",0,"vehicle"
"BEV300","Light truck",1977,"sales",0,"vehicle"
"CNG","Light truck",1977,"sales",0,"vehicle"
"FCV","Light truck",1977,"sales",0,"vehicle"
"FFV","Light truck",1977,"sales",0,"vehicle"
"HEV","Light truck",1977,"sales",0,"vehicle"
"ICEV-D","Light truck",1977,"sales",13719.999979164,"vehicle"
"ICEV-G","Light truck",1977,"sales",3416279.99481184,"vehicle"
"PHEV20","Light truck",1977,"sales",0,"vehicle"
"PHEV40","Light truck",1977,"sales",0,"vehicle"
"BEV100","Car",1978,"sales",0,"vehicle"
"BEV300","Car",1978,"sales",0,"vehicle"
"CNG","Car",1978,"sales",0,"vehicle"
"FCV","Car",1978,"sales",0,"vehicle"
"FFV","Car",1978,"sales",0,"vehicle"
"HEV","Car",1978,"sales",0,"vehicle"
"ICEV-D","Car",1978,"sales",115402.799926091,"vehicle"
"ICEV-G","Car",1978,"sales",11198597.1928279,"vehicle"
"PHEV20","Car",1978,"sales",0,"vehicle"
"PHEV40","Car",1978,"sales",0,"vehicle"
"BEV100","Light truck",1978,"sales",0,"vehicle"
"BEV300","Light truck",1978,"sales",0,"vehicle"
"CNG","Light truck",1978,"sales",0,"vehicle"
"FCV","Light truck",1978,"sales",0,"vehicle"
"FFV","Light truck",1978,"sales",0,"vehicle"
"HEV","Light truck",1978,"sales",0,"vehicle"
"ICEV-D","Light truck",1978,"sales",30464.000057968,"vehicle"
"ICEV-G","Light truck",1978,"sales",3777536.00718803,"vehicle"
"PHEV20","Light truck",1978,"sales",0,"vehicle"
"PHEV40","Light truck",1978,"sales",0,"vehicle"
"BEV100","Car",1979,"sales",0,"vehicle"
"BEV300","Car",1979,"sales",0,"vehicle"
"CNG","Car",1979,"sales",0,"vehicle"
"FCV","Car",1979,"sales",0,"vehicle"
"FFV","Car",1979,"sales",0,"vehicle"
"HEV","Car",1979,"sales",0,"vehicle"
"ICEV-D","Car",1979,"sales",271094.199987808,"vehicle"
"ICEV-G","Car",1979,"sales",10401905.7995322,"vehicle"
"PHEV20","Car",1979,"sales",0,"vehicle"
"PHEV40","Car",1979,"sales",0,"vehicle"
"BEV100","Light truck",1979,"sales",0,"vehicle"
"BEV300","Light truck",1979,"sales",0,"vehicle"
"CNG","Light truck",1979,"sales",0,"vehicle"
"FCV","Light truck",1979,"sales",0,"vehicle"
"FFV","Light truck",1979,"sales",0,"vehicle"
"HEV","Light truck",1979,"sales",0,"vehicle"
"ICEV-D","Light truck",1979,"sales",59598.00000864,"vehicle"
"ICEV-G","Light truck",1979,"sales",3251402.00047136,"vehicle"
"PHEV20","Light truck",1979,"sales",0,"vehicle"
"PHEV40","Light truck",1979,"sales",0,"vehicle"
"BEV100","Car",1980,"sales",0,"vehicle"
"BEV300","Car",1980,"sales",0,"vehicle"
"CNG","Car",1980,"sales",0,"vehicle"
"FCV","Car",1980,"sales",0,"vehicle"
"FFV","Car",1980,"sales",0,"vehicle"
"HEV","Car",1980,"sales",0,"vehicle"
"ICEV-D","Car",1980,"sales",386994.900061892,"vehicle"
"ICEV-G","Car",1980,"sales",8592005.10137411,"vehicle"
"PHEV20","Car",1980,"sales",0,"vehicle"
"PHEV40","Car",1980,"sales",0,"vehicle"
"BEV100","Light truck",1980,"sales",0,"vehicle"
"BEV300","Light truck",1980,"sales",0,"vehicle"
"CNG","Light truck",1980,"sales",0,"vehicle"
"FCV","Light truck",1980,"sales",0,"vehicle"
"FFV","Light truck",1980,"sales",0,"vehicle"
"HEV","Light truck",1980,"sales",0,"vehicle"
"ICEV-D","Light truck",1980,"sales",87839.999948304,"vehicle"
"ICEV-G","Light truck",1980,"sales",2352159.9986157,"vehicle"
"PHEV20","Light truck",1980,"sales",0,"vehicle"
"PHEV40","Light truck",1980,"sales",0,"vehicle"
"BEV100","Car",1981,"sales",0,"vehicle"
"BEV300","Car",1981,"sales",0,"vehicle"
"CNG","Car",1981,"sales",0,"vehicle"
"FCV","Car",1981,"sales",0,"vehicle"
"FFV","Car",1981,"sales",0,"vehicle"
"HEV","Car",1981,"sales",0,"vehicle"
"ICEV-D","Car",1981,"sales",520696.0000671,"vehicle"
"ICEV-G","Car",1981,"sales",8015304.0010329,"vehicle"
"PHEV20","Car",1981,"sales",0,"vehicle"
"PHEV40","Car",1981,"sales",0,"vehicle"
"BEV100","Light truck",1981,"sales",0,"vehicle"
"BEV300","Light truck",1981,"sales",0,"vehicle"
"CNG","Light truck",1981,"sales",0,"vehicle"
"FCV","Light truck",1981,"sales",0,"vehicle"
"FFV","Light truck",1981,"sales",0,"vehicle"
"HEV","Light truck",1981,"sales",0,"vehicle"
"ICEV-D","Light truck",1981,"sales",67858.9999659,"vehicle"
"ICEV-G","Light truck",1981,"sales",2121140.9989341,"vehicle"
"PHEV20","Light truck",1981,"sales",0,"vehicle"
"PHEV40","Light truck",1981,"sales",0,"vehicle"
"BEV100","Car",1982,"sales",0,"vehicle"
"BEV300","Car",1982,"sales",0,"vehicle"
"CNG","Car",1982,"sales",0,"vehicle"
"FCV","Car",1982,"sales",0,"vehicle"
"FFV","Car",1982,"sales",0,"vehicle"
"HEV","Car",1982,"sales",0,"vehicle"
"ICEV-D","Car",1982,"sales",354400.79998153,"vehicle"
"ICEV-G","Car",1982,"sales",7627599.19960247,"vehicle"
"PHEV20","Car",1982,"sales",0,"vehicle"
"PHEV40","Car",1982,"sales",0,"vehicle"
"BEV100","Light truck",1982,"sales",0,"vehicle"
"BEV300","Light truck",1982,"sales",0,"vehicle"
"CNG","Light truck",1982,"sales",0,"vehicle"
"FCV","Light truck",1982,"sales",0,"vehicle"
"FFV","Light truck",1982,"sales",0,"vehicle"
"HEV","Light truck",1982,"sales",0,"vehicle"
"ICEV-D","Light truck",1982,"sales",209950.00003536,"vehicle"
"ICEV-G","Light truck",1982,"sales",2260050.00038064,"vehicle"
"PHEV20","Light truck",1982,"sales",0,"vehicle"
"PHEV40","Light truck",1982,"sales",0,"vehicle"
"BEV100","Car",1983,"sales",0,"vehicle"
"BEV300","Car",1983,"sales",0,"vehicle"
"CNG","Car",1983,"sales",0,"vehicle"
"FCV","Car",1983,"sales",0,"vehicle"
"FFV","Car",1983,"sales",0,"vehicle"
"HEV","Car",1983,"sales",0,"vehicle"
"ICEV-D","Car",1983,"sales",191903.799905448,"vehicle"
"ICEV-G","Car",1983,"sales",8990096.19557055,"vehicle"
"PHEV20","Car",1983,"sales",0,"vehicle"
"PHEV40","Car",1983,"sales",0,"vehicle"
"BEV100","Light truck",1983,"sales",0,"vehicle"
"BEV300","Light truck",1983,"sales",0,"vehicle"
"CNG","Light truck",1983,"sales",0,"vehicle"
"FCV","Light truck",1983,"sales",0,"vehicle"
"FFV","Light truck",1983,"sales",0,"vehicle"
"HEV","Light truck",1983,"sales",0,"vehicle"
"ICEV-D","Light truck",1983,"sales",199928.000303108,"vehicle"
"ICEV-G","Light truck",1983,"sales",2784072.00422089,"vehicle"
"PHEV20","Light truck",1983,"sales",0,"vehicle"
"PHEV40","Light truck",1983,"sales",0,"vehicle"
"BEV100","Car",1984,"sales",0,"vehicle"
"BEV300","Car",1984,"sales",0,"vehicle"
"CNG","Car",1984,"sales",0,"vehicle"
"FCV","Car",1984,"sales",0,"vehicle"
"FFV","Car",1984,"sales",0,"vehicle"
"HEV","Car",1984,"sales",0,"vehicle"
"ICEV-D","Car",1984,"sales",150669.499969782,"vehicle"
"ICEV-G","Car",1984,"sales",10240330.4979462,"vehicle"
"PHEV20","Car",1984,"sales",0,"vehicle"
"PHEV40","Car",1984,"sales",0,"vehicle"
"BEV100","Light truck",1984,"sales",0,"vehicle"
"BEV300","Light truck",1984,"sales",0,"vehicle"
"CNG","Light truck",1984,"sales",0,"vehicle"
"FCV","Light truck",1984,"sales",0,"vehicle"
"FFV","Light truck",1984,"sales",0,"vehicle"
"HEV","Light truck",1984,"sales",0,"vehicle"
"ICEV-D","Light truck",1984,"sales",185424.000100032,"vehicle"
"ICEV-G","Light truck",1984,"sales",3677576.00198397,"vehicle"
"PHEV20","Light truck",1984,"sales",0,"vehicle"
"PHEV40","Light truck",1984,"sales",0,"vehicle"
"BEV100","Car",1985,"sales",0,"vehicle"
"BEV300","Car",1985,"sales",0,"vehicle"
"CNG","Car",1985,"sales",0,"vehicle"
"FCV","Car",1985,"sales",0,"vehicle"
"FFV","Car",1985,"sales",0,"vehicle"
"HEV","Car",1985,"sales",0,"vehicle"
"ICEV-D","Car",1985,"sales",90552.5999684382,"vehicle"
"ICEV-G","Car",1985,"sales",10952447.3961826,"vehicle"
"PHEV20","Car",1985,"sales",0,"vehicle"
"PHEV40","Car",1985,"sales",0,"vehicle"
"BEV100","Light truck",1985,"sales",0,"vehicle"
"BEV300","Light truck",1985,"sales",0,"vehicle"
"CNG","Light truck",1985,"sales",0,"vehicle"
"FCV","Light truck",1985,"sales",0,"vehicle"
"FFV","Light truck",1985,"sales",0,"vehicle"
"HEV","Light truck",1985,"sales",0,"vehicle"
"ICEV-D","Light truck",1985,"sales",169404.000146262,"vehicle"
"ICEV-G","Light truck",1985,"sales",4288596.00370274,"vehicle"
"PHEV20","Light truck",1985,"sales",0,"vehicle"
"PHEV40","Light truck",1985,"sales",0,"vehicle"
"BEV100","Car",1986,"sales",0,"vehicle"
"BEV300","Car",1986,"sales",0,"vehicle"
"CNG","Car",1986,"sales",0,"vehicle"
"FCV","Car",1986,"sales",0,"vehicle"
"FFV","Car",1986,"sales",0,"vehicle"
"HEV","Car",1986,"sales",0,"vehicle"
"ICEV-D","Car",1986,"sales",42375.5228043882,"vehicle"
"ICEV-G","Car",1986,"sales",11410468.4783816,"vehicle"
"PHEV20","Car",1986,"sales",0,"vehicle"
"PHEV40","Car",1986,"sales",0,"vehicle"
"BEV100","Light truck",1986,"sales",0,"vehicle"
"BEV300","Light truck",1986,"sales",0,"vehicle"
"CNG","Light truck",1986,"sales",0,"vehicle"
"FCV","Light truck",1986,"sales",0,"vehicle"
"FFV","Light truck",1986,"sales",0,"vehicle"
"HEV","Light truck",1986,"sales",0,"vehicle"
"ICEV-D","Light truck",1986,"sales",169983.771956118,"vehicle"
"ICEV-G","Light truck",1986,"sales",4424172.22685788,"vehicle"
"PHEV20","Light truck",1986,"sales",0,"vehicle"
"PHEV40","Light truck",1986,"sales",0,"vehicle"
"BEV100","Car",1987,"sales",0,"vehicle"
"BEV300","Car",1987,"sales",0,"vehicle"
"CNG","Car",1987,"sales",0,"vehicle"
"FCV","Car",1987,"sales",0,"vehicle"
"FFV","Car",1987,"sales",0,"vehicle"
"HEV","Car",1987,"sales",0,"vehicle"
"ICEV-D","Car",1987,"sales",16444.7488081792,"vehicle"
"ICEV-G","Car",1987,"sales",10261523.2563038,"vehicle"
"PHEV20","Car",1987,"sales",0,"vehicle"
"PHEV40","Car",1987,"sales",0,"vehicle"
"BEV100","Light truck",1987,"sales",0,"vehicle"
"BEV300","Light truck",1987,"sales",0,"vehicle"
"CNG","Light truck",1987,"sales",0,"vehicle"
"FCV","Light truck",1987,"sales",0,"vehicle"
"FFV","Light truck",1987,"sales",0,"vehicle"
"HEV","Light truck",1987,"sales",0,"vehicle"
"ICEV-D","Light truck",1987,"sales",106030.735882424,"vehicle"
"ICEV-G","Light truck",1987,"sales",4504001.25900558,"vehicle"
"PHEV20","Light truck",1987,"sales",0,"vehicle"
"PHEV40","Light truck",1987,"sales",0,"vehicle"
"BEV100","Car",1988,"sales",0,"vehicle"
"BEV300","Car",1988,"sales",0,"vehicle"
"CNG","Car",1988,"sales",0,"vehicle"
"FCV","Car",1988,"sales",0,"vehicle"
"FFV","Car",1988,"sales",0,"vehicle"
"HEV","Car",1988,"sales",0,"vehicle"
"ICEV-D","Car",1988,"sales",2125.1429997156,"vehicle"
"ICEV-G","Car",1988,"sales",10623589.8555783,"vehicle"
"PHEV20","Car",1988,"sales",0,"vehicle"
"PHEV40","Car",1988,"sales",0,"vehicle"
"BEV100","Light truck",1988,"sales",0,"vehicle"
"BEV300","Light truck",1988,"sales",0,"vehicle"
"CNG","Light truck",1988,"sales",0,"vehicle"
"FCV","Light truck",1988,"sales",0,"vehicle"
"FFV","Light truck",1988,"sales",0,"vehicle"
"HEV","Light truck",1988,"sales",0,"vehicle"
"ICEV-D","Light truck",1988,"sales",110406.555032706,"vehicle"
"ICEV-G","Light truck",1988,"sales",4689878.44638929,"vehicle"
"PHEV20","Light truck",1988,"sales",0,"vehicle"
"PHEV40","Light truck",1988,"sales",0,"vehicle"
"BEV100","Car",1989,"sales",0,"vehicle"
"BEV300","Car",1989,"sales",0,"vehicle"
"CNG","Car",1989,"sales",0,"vehicle"
"FCV","Car",1989,"sales",0,"vehicle"
"FFV","Car",1989,"sales",0,"vehicle"
"HEV","Car",1989,"sales",0,"vehicle"
"ICEV-D","Car",1989,"sales",12867.3999996516,"vehicle"
"ICEV-G","Car",1989,"sales",9885132.59973235,"vehicle"
"PHEV20","Car",1989,"sales",0,"vehicle"
"PHEV40","Car",1989,"sales",0,"vehicle"
"BEV100","Light truck",1989,"sales",0,"vehicle"
"BEV300","Light truck",1989,"sales",0,"vehicle"
"CNG","Light truck",1989,"sales",0,"vehicle"
"FCV","Light truck",1989,"sales",0,"vehicle"
"FFV","Light truck",1989,"sales",0,"vehicle"
"HEV","Light truck",1989,"sales",0,"vehicle"
"ICEV-D","Light truck",1989,"sales",133690.000007772,"vehicle"
"ICEV-G","Light truck",1989,"sales",4476310.00026023,"vehicle"
"PHEV20","Light truck",1989,"sales",0,"vehicle"
"PHEV40","Light truck",1989,"sales",0,"vehicle"
"BEV100","Car",1990,"sales",0,"vehicle"
"BEV300","Car",1990,"sales",0,"vehicle"
"CNG","Car",1990,"sales",0,"vehicle"
"FCV","Car",1990,"sales",0,"vehicle"
"FFV","Car",1990,"sales",0,"vehicle"
"HEV","Car",1990,"sales",0,"vehicle"
"ICEV-D","Car",1990,"sales",7440.8776030864,"vehicle"
"ICEV-G","Car",1990,"sales",9293656.12625491,"vehicle"
"PHEV20","Car",1990,"sales",0,"vehicle"
"PHEV40","Car",1990,"sales",0,"vehicle"
"BEV100","Light truck",1990,"sales",0,"vehicle"
"BEV300","Light truck",1990,"sales",0,"vehicle"
"CNG","Light truck",1990,"sales",0,"vehicle"
"FCV","Light truck",1990,"sales",0,"vehicle"
"FFV","Light truck",1990,"sales",0,"vehicle"
"HEV","Light truck",1990,"sales",0,"vehicle"
"ICEV-D","Light truck",1990,"sales",140984.992880402,"vehicle"
"ICEV-G","Light truck",1990,"sales",4406918.0032616,"vehicle"
"PHEV20","Light truck",1990,"sales",0,"vehicle"
"PHEV40","Light truck",1990,"sales",0,"vehicle"
"BEV100","Car",1991,"sales",0,"vehicle"
"BEV300","Car",1991,"sales",0,"vehicle"
"CNG","Car",1991,"sales",0,"vehicle"
"FCV","Car",1991,"sales",0,"vehicle"
"FFV","Car",1991,"sales",0,"vehicle"
"HEV","Car",1991,"sales",0,"vehicle"
"ICEV-D","Car",1991,"sales",8175.467994122,"vehicle"
"ICEV-G","Car",1991,"sales",8167292.52612788,"vehicle"
"PHEV20","Car",1991,"sales",0,"vehicle"
"PHEV40","Car",1991,"sales",0,"vehicle"
"BEV100","Light truck",1991,"sales",0,"vehicle"
"BEV300","Light truck",1991,"sales",0,"vehicle"
"CNG","Light truck",1991,"sales",0,"vehicle"
"FCV","Light truck",1991,"sales",0,"vehicle"
"FFV","Light truck",1991,"sales",0,"vehicle"
"HEV","Light truck",1991,"sales",0,"vehicle"
"ICEV-D","Light truck",1991,"sales",131921.024188096,"vehicle"
"ICEV-G","Light truck",1991,"sales",3990610.9816899,"vehicle"
"PHEV20","Light truck",1991,"sales",0,"vehicle"
"PHEV40","Light truck",1991,"sales",0,"vehicle"
"BEV100","Car",1992,"sales",0,"vehicle"
"BEV300","Car",1992,"sales",0,"vehicle"
"CNG","Car",1992,"sales",0,"vehicle"
"FCV","Car",1992,"sales",0,"vehicle"
"FFV","Car",1992,"sales",0,"vehicle"
"HEV","Car",1992,"sales",0,"vehicle"
"ICEV-D","Car",1992,"sales",4928.0328018732,"vehicle"
"ICEV-G","Car",1992,"sales",8208459.97032013,"vehicle"
"PHEV20","Car",1992,"sales",0,"vehicle"
"PHEV40","Car",1992,"sales",0,"vehicle"
"BEV100","Light truck",1992,"sales",0,"vehicle"
"BEV300","Light truck",1992,"sales",0,"vehicle"
"CNG","Light truck",1992,"sales",0,"vehicle"
"FCV","Light truck",1992,"sales",0,"vehicle"
"FFV","Light truck",1992,"sales",0,"vehicle"
"HEV","Light truck",1992,"sales",0,"vehicle"
"ICEV-D","Light truck",1992,"sales",152744.195896974,"vehicle"
"ICEV-G","Light truck",1992,"sales",4475867.80098103,"vehicle"
"PHEV20","Light truck",1992,"sales",0,"vehicle"
"PHEV40","Light truck",1992,"sales",0,"vehicle"
"BEV100","Car",1993,"sales",0,"vehicle"
"BEV300","Car",1993,"sales",0,"vehicle"
"CNG","Car",1993,"sales",0,"vehicle"
"FCV","Car",1993,"sales",0,"vehicle"
"FFV","Car",1993,"sales",0,"vehicle"
"HEV","Car",1993,"sales",0,"vehicle"
"ICEV-D","Car",1993,"sales",2555.3634011721,"vehicle"
"ICEV-G","Car",1993,"sales",8515322.64050583,"vehicle"
"PHEV20","Car",1993,"sales",0,"vehicle"
"PHEV40","Car",1993,"sales",0,"vehicle"
"BEV100","Light truck",1993,"sales",0,"vehicle"
"BEV300","Light truck",1993,"sales",0,"vehicle"
"CNG","Light truck",1993,"sales",0,"vehicle"
"FCV","Light truck",1993,"sales",0,"vehicle"
"FFV","Light truck",1993,"sales",0,"vehicle"
"HEV","Light truck",1993,"sales",0,"vehicle"
"ICEV-D","Light truck",1993,"sales",197991.513855441,"vehicle"
"ICEV-G","Light truck",1993,"sales",5153130.48223756,"vehicle"
"PHEV20","Light truck",1993,"sales",0,"vehicle"
"PHEV40","Light truck",1993,"sales",0,"vehicle"
"BEV100","Car",1994,"sales",0,"vehicle"
"BEV300","Car",1994,"sales",0,"vehicle"
"CNG","Car",1994,"sales",0,"vehicle"
"FCV","Car",1994,"sales",0,"vehicle"
"FFV","Car",1994,"sales",0,"vehicle"
"HEV","Car",1994,"sales",0,"vehicle"
"ICEV-D","Car",1994,"sales",3596.0796008828,"vehicle"
"ICEV-G","Car",1994,"sales",8986602.92260612,"vehicle"
"PHEV20","Car",1994,"sales",0,"vehicle"
"PHEV40","Car",1994,"sales",0,"vehicle"
"BEV100","Light truck",1994,"sales",0,"vehicle"
"BEV300","Light truck",1994,"sales",0,"vehicle"
"CNG","Light truck",1994,"sales",0,"vehicle"
"FCV","Light truck",1994,"sales",0,"vehicle"
"FFV","Light truck",1994,"sales",0,"vehicle"
"HEV","Light truck",1994,"sales",0,"vehicle"
"ICEV-D","Light truck",1994,"sales",235279.238913927,"vehicle"
"ICEV-G","Light truck",1994,"sales",5797521.75887907,"vehicle"
"PHEV20","Light truck",1994,"sales",0,"vehicle"
"PHEV40","Light truck",1994,"sales",0,"vehicle"
"BEV100","Car",1995,"sales",0,"vehicle"
"BEV300","Car",1995,"sales",0,"vehicle"
"CNG","Car",1995,"sales",0,"vehicle"
"FCV","Car",1995,"sales",0,"vehicle"
"FFV","Car",1995,"sales",5065.88759659014,"vehicle"
"HEV","Car",1995,"sales",0,"vehicle"
"ICEV-D","Car",1995,"sales",34539.239973888,"vehicle"
"ICEV-G","Car",1995,"sales",8595204.86590152,"vehicle"
"PHEV20","Car",1995,"sales",0,"vehicle"
"PHEV40","Car",1995,"sales",0,"vehicle"
