"Input","Year","Value","Unit","Scenario"
"elect_td_trn",2055,73219825144.1136,"kg CO2","SSP2"
"H2 enduse",2055,0,"kg CO2","SSP2"
"refined liquids enduse",2055,736526410540.29,"kg CO2","SSP2"
"delivered gas",2060,120272245640,"kg CO2","SSP2"
"elect_td_trn",2060,82902688691.8941,"kg CO2","SSP2"
"H2 enduse",2060,0,"kg CO2","SSP2"
"refined liquids enduse",2060,718649175799.229,"kg CO2","SSP2"
"delivered gas",2065,128402799710,"kg CO2","SSP2"
"elect_td_trn",2065,92142321497.5178,"kg CO2","SSP2"
"H2 enduse",2065,0,"kg CO2","SSP2"
"refined liquids enduse",2065,707773547266.459,"kg CO2","SSP2"
"delivered gas",2070,135869834230,"kg CO2","SSP2"
"elect_td_trn",2070,100519498497.853,"kg CO2","SSP2"
"H2 enduse",2070,0,"kg CO2","SSP2"
"refined liquids enduse",2070,698116953741.313,"kg CO2","SSP2"
"delivered gas",2075,142467981420,"kg CO2","SSP2"
"elect_td_trn",2075,104001820018.405,"kg CO2","SSP2"
"H2 enduse",2075,0,"kg CO2","SSP2"
"refined liquids enduse",2075,687556614085.155,"kg CO2","SSP2"
"delivered gas",2080,148117809620,"kg CO2","SSP2"
"elect_td_trn",2080,110342867639.054,"kg CO2","SSP2"
"H2 enduse",2080,0,"kg CO2","SSP2"
"refined liquids enduse",2080,673933666686.376,"kg CO2","SSP2"
"delivered gas",2085,153219285320,"kg CO2","SSP2"
"elect_td_trn",2085,117605557422.825,"kg CO2","SSP2"
"H2 enduse",2085,0,"kg CO2","SSP2"
"refined liquids enduse",2085,656127657012.395,"kg CO2","SSP2"
"delivered gas",2090,158116482130,"kg CO2","SSP2"
"elect_td_trn",2090,125145768746.243,"kg CO2","SSP2"
"H2 enduse",2090,0,"kg CO2","SSP2"
"refined liquids enduse",2090,634310589049.46,"kg CO2","SSP2"
"delivered gas",2095,162338785960,"kg CO2","SSP2"
"elect_td_trn",2095,132113266882.661,"kg CO2","SSP2"
"H2 enduse",2095,0,"kg CO2","SSP2"
"refined liquids enduse",2095,611202805487.952,"kg CO2","SSP2"
"delivered gas",2100,167729609430,"kg CO2","SSP2"
"elect_td_trn",2100,133946582041.539,"kg CO2","SSP2"
"H2 enduse",2100,0,"kg CO2","SSP2"
"refined liquids enduse",2100,592041736486.711,"kg CO2","SSP2"
"delivered gas",1975,0,"kg CO2","SSP2_26"
"elect_td_trn",1975,0,"kg CO2","SSP2_26"
"H2 enduse",1975,0,"kg CO2","SSP2_26"
