Unit,Year,Value,Scenario
kg CO2/kWh,2010,0.555163019,SSP5_26
kg CO2/kWh,2015,0.555067403,SSP5_26
kg CO2/kWh,2020,0.541996898,SSP5_26
kg CO2/kWh,2025,0.515666346,SSP5_26
kg CO2/kWh,2030,0.483942925,SSP5_26
kg CO2/kWh,2035,0.45234942,SSP5_26
kg CO2/kWh,2040,0.303027294,SSP5_26
kg CO2/kWh,2045,0.179324668,SSP5_26
kg CO2/kWh,2050,0.078244914,SSP5_26
kg CO2/kWh,2055,0.019922688,SSP5_26
kg CO2/kWh,2060,-0.019554499,SSP5_26
kg CO2/kWh,2065,-0.041819363,SSP5_26
kg CO2/kWh,2070,-0.060519429,SSP5_26
kg CO2/kWh,2075,-0.076075637,SSP5_26
kg CO2/kWh,2080,-0.082962655,SSP5_26
kg CO2/kWh,2085,-0.085676484,SSP5_26
kg CO2/kWh,2090,-0.084070791,SSP5_26
kg CO2/kWh,2095,-0.078068642,SSP5_26
kg CO2/kWh,2100,-0.071941786,SSP5_26
